method,label,rr_alpha_1,rr_alpha_2,T,n_problems,n_traj,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.2 (const),0.2,0.1,1000000,100,100,7.52893230862433,5.38254385810345,67.5,53.83,0
const_0.02,alpha=0.1 (const),0.2,0.1,1000000,100,100,4.464434105214516,5.374735270497643,86.0,77.38,0
RR,RR (0.2+0.1),0.2,0.1,1000000,100,100,2.973590440874101,5.377129553855516,94.0,94.19999999999999,0
dim_0.2,0.2/sqrt(k) (dim),0.2,0.1,1000000,100,100,4.868111094645097,6.708667518204299,88.0,88.07,0
dim_0.02,0.1/sqrt(k) (dim),0.2,0.1,1000000,100,100,6.961078529364246,7.229762193507775,82.0,82.49,0
PR_OBM,PR + OBM,0.2,0.1,1000000,100,100,3.476950410561291,5.39358090896773,92.0,88.85999999999999,0
PR_MSB,PR + MSB,0.2,0.1,1000000,100,100,3.476950410561291,5.354547838826486,91.0,88.45,0
RR_OBM,RR + OBM,0.2,0.1,1000000,100,100,2.973412922111536,5.416808398036517,95.0,94.6,0
RR_MSB,RR + MSB,0.2,0.1,1000000,100,100,2.973412922111536,5.345894424609532,94.0,94.38,0
const_0.2_OBM,a=0.2 + OBM,0.2,0.1,1000000,100,100,7.529164759291249,5.428831356006983,68.5,54.44,0
const_0.2_MSB,a=0.2 + MSB,0.2,0.1,1000000,100,100,7.529164759291249,5.375681833269928,67.0,53.82,0
const_0.02_OBM,a=0.1 + OBM,0.2,0.1,1000000,100,100,4.464578919228248,5.419142341974192,87.0,77.77000000000001,0
const_0.02_MSB,a=0.1 + MSB,0.2,0.1,1000000,100,100,4.464578919228248,5.372152943105099,86.0,77.14000000000001,0
const_0.02_OBM_RR,a=0.1 + OBM-RR,0.2,0.1,1000000,100,100,4.464578919228248,5.399598275624708,86.5,77.51000000000002,0
PR_OBM_RR,PR + OBM-RR,0.2,0.1,1000000,100,100,3.476950410561291,5.39657510619368,92.0,88.69,0
RR_OBM_RR,RR + OBM-RR,0.2,0.1,1000000,100,100,2.973412922111536,5.391139513733224,95.0,94.41,0
