method,label,rr_alpha_1,rr_alpha_2,T,n_problems,n_traj,l2_median,width_median,cov_median,cov_mean,diverged_total
const_0.2,alpha=0.1 (const),0.1,0.05,1000000,100,100,4.464434105214516,5.374735270497643,86.0,77.38,0
const_0.02,alpha=0.05 (const),0.1,0.05,1000000,100,100,3.4095769220222496,5.3706071591026925,91.5,89.03,0
RR,RR (0.1+0.05),0.1,0.05,1000000,100,100,2.9716018934662447,5.370641259713356,94.0,94.23,0
dim_0.2,0.1/sqrt(k) (dim),0.1,0.05,1000000,100,100,6.961078529364246,7.229762193507775,82.0,82.49000000000001,0
dim_0.02,0.05/sqrt(k) (dim),0.1,0.05,1000000,100,100,16.556451481310006,9.771796220403226,61.5,57.440000000000005,0
PR_OBM,PR + OBM,0.1,0.05,1000000,100,100,3.476950410561291,5.39358090896773,92.0,88.86,0
PR_MSB,PR + MSB,0.1,0.05,1000000,100,100,3.476950410561291,5.354547838826486,91.0,88.45,0
RR_OBM,RR + OBM,0.1,0.05,1000000,100,100,2.971458409785759,5.396693648296829,95.0,94.57000000000001,0
RR_MSB,RR + MSB,0.1,0.05,1000000,100,100,2.971458409785759,5.3332704787141045,94.5,94.33,0
const_0.2_OBM,a=0.1 + OBM,0.1,0.05,1000000,100,100,4.464578919228248,5.419142341974192,87.0,77.77000000000001,0
const_0.2_MSB,a=0.1 + MSB,0.1,0.05,1000000,100,100,4.464578919228248,5.3642342915071,86.0,77.14,0
const_0.02_OBM,a=0.05 + OBM,0.1,0.05,1000000,100,100,3.409528907660461,5.40317393016535,92.0,89.69,0
const_0.02_MSB,a=0.05 + MSB,0.1,0.05,1000000,100,100,3.409528907660461,5.356724791623415,92.0,89.22000000000003,0
const_0.02_OBM_RR,a=0.05 + OBM-RR,0.1,0.05,1000000,100,100,3.409528907660461,5.395964791418828,92.0,89.49,0
PR_OBM_RR,PR + OBM-RR,0.1,0.05,1000000,100,100,3.476950410561291,5.39657510619368,92.0,88.69,0
RR_OBM_RR,RR + OBM-RR,0.1,0.05,1000000,100,100,2.971458409785759,5.386766301334517,95.0,94.46000000000001,0
