method,label,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,problem_seed,sigma_true,rr_alpha_1,rr_alpha_2,T,T_eff,n_traj,b_n,n_bootstrap,max_a_norm,max_rho,warn_unstable,warn_assumption
RR_BATCH,RR + batch means,21.132796422085224,33.41820235731369,91.0,0,1688060241,1.4441085443788395,0.2,0.1,20000,19000,100,380,500,0.8471715979797765,0.97691339865281,False,False
RR_ORACLE,RR + oracle variance,21.132796422085562,34.1744241266503,94.0,0,1688060241,1.4441085443788395,0.2,0.1,20000,19000,100,380,500,0.8471715979797765,0.97691339865281,False,False
RR_OBM,RR + OBM,21.132796422085562,33.01010662925677,91.0,0,1688060241,1.4441085443788395,0.2,0.1,20000,19000,100,380,500,0.8471715979797765,0.97691339865281,False,False
RR_OBM_RR,RR + OBM-RR,21.132796422085562,33.37785168172159,90.0,0,1688060241,1.4441085443788395,0.2,0.1,20000,19000,100,380,500,0.8471715979797765,0.97691339865281,False,False
RR_MSB,RR + MSB,21.132796422085562,32.576290909206676,90.0,0,1688060241,1.4441085443788395,0.2,0.1,20000,19000,100,380,500,0.8471715979797765,0.97691339865281,False,False
RR_BATCH,RR + batch means,19.523086267702286,39.254733589751126,92.0,0,1130604998,2.1629023445129523,0.2,0.1,20000,19000,100,380,500,0.8180013399446049,0.9648496803828693,False,False
RR_ORACLE,RR + oracle variance,19.523086267702354,41.82343913375115,97.0,0,1130604998,2.1629023445129523,0.2,0.1,20000,19000,100,380,500,0.8180013399446049,0.9648496803828693,False,False
RR_OBM,RR + OBM,19.523086267702354,39.91430724662898,94.0,0,1130604998,2.1629023445129523,0.2,0.1,20000,19000,100,380,500,0.8180013399446049,0.9648496803828693,False,False
RR_OBM_RR,RR + OBM-RR,19.523086267702354,40.58335228619844,91.0,0,1130604998,2.1629023445129523,0.2,0.1,20000,19000,100,380,500,0.8180013399446049,0.9648496803828693,False,False
RR_MSB,RR + MSB,19.523086267702354,39.58697325110365,94.0,0,1130604998,2.1629023445129523,0.2,0.1,20000,19000,100,380,500,0.8180013399446049,0.9648496803828693,False,False
RR_BATCH,RR + batch means,19.75716169562005,42.21200343943291,95.0,0,1497586439,2.482036996357162,0.2,0.1,20000,19000,100,380,500,0.7570355025661545,0.9546844288686142,False,False
RR_ORACLE,RR + oracle variance,19.757161695620457,44.802826304046995,98.0,0,1497586439,2.482036996357162,0.2,0.1,20000,19000,100,380,500,0.7570355025661545,0.9546844288686142,False,False
RR_OBM,RR + OBM,19.757161695620457,42.45784112823166,95.0,0,1497586439,2.482036996357162,0.2,0.1,20000,19000,100,380,500,0.7570355025661545,0.9546844288686142,False,False
RR_OBM_RR,RR + OBM-RR,19.757161695620457,42.352159980984474,95.0,0,1497586439,2.482036996357162,0.2,0.1,20000,19000,100,380,500,0.7570355025661545,0.9546844288686142,False,False
RR_MSB,RR + MSB,19.757161695620457,42.200410348278304,95.0,0,1497586439,2.482036996357162,0.2,0.1,20000,19000,100,380,500,0.7570355025661545,0.9546844288686142,False,False
RR_BATCH,RR + batch means,18.760340359074917,36.69739600799504,92.0,0,432652533,1.9611068538101502,0.2,0.1,20000,19000,100,380,500,0.7171510190072995,0.9811557567616923,False,False
RR_ORACLE,RR + oracle variance,18.760340359074878,39.82464516481882,97.0,0,432652533,1.9611068538101502,0.2,0.1,20000,19000,100,380,500,0.7171510190072995,0.9811557567616923,False,False
RR_OBM,RR + OBM,18.760340359074878,36.727168225015355,96.0,0,432652533,1.9611068538101502,0.2,0.1,20000,19000,100,380,500,0.7171510190072995,0.9811557567616923,False,False
RR_OBM_RR,RR + OBM-RR,18.760340359074878,37.22956377654997,95.0,0,432652533,1.9611068538101502,0.2,0.1,20000,19000,100,380,500,0.7171510190072995,0.9811557567616923,False,False
RR_MSB,RR + MSB,18.760340359074878,36.12269525588315,96.0,0,432652533,1.9611068538101502,0.2,0.1,20000,19000,100,380,500,0.7171510190072995,0.9811557567616923,False,False
RR_BATCH,RR + batch means,23.016279139396172,45.54755571920122,90.0,0,1580016184,2.9767465568954146,0.2,0.1,20000,19000,100,380,500,0.693869447479337,0.9799992470541787,False,False
RR_ORACLE,RR + oracle variance,23.01627913939539,49.0650466603301,94.0,0,1580016184,2.9767465568954146,0.2,0.1,20000,19000,100,380,500,0.693869447479337,0.9799992470541787,False,False
RR_OBM,RR + OBM,23.01627913939539,45.65076272860979,90.0,0,1580016184,2.9767465568954146,0.2,0.1,20000,19000,100,380,500,0.693869447479337,0.9799992470541787,False,False
RR_OBM_RR,RR + OBM-RR,23.01627913939539,47.15138525893534,88.0,0,1580016184,2.9767465568954146,0.2,0.1,20000,19000,100,380,500,0.693869447479337,0.9799992470541787,False,False
RR_MSB,RR + MSB,23.01627913939539,45.7032860621811,92.0,0,1580016184,2.9767465568954146,0.2,0.1,20000,19000,100,380,500,0.693869447479337,0.9799992470541787,False,False
RR_BATCH,RR + batch means,14.682371684603204,29.947130376930676,95.0,0,1990212659,1.288161905605608,0.2,0.1,20000,19000,100,380,500,0.8433534285194172,0.9410252605005613,False,False
RR_ORACLE,RR + oracle variance,14.682371684603407,32.27650576134716,99.0,0,1990212659,1.288161905605608,0.2,0.1,20000,19000,100,380,500,0.8433534285194172,0.9410252605005613,False,False
RR_OBM,RR + OBM,14.682371684603407,30.544494345896126,98.0,0,1990212659,1.288161905605608,0.2,0.1,20000,19000,100,380,500,0.8433534285194172,0.9410252605005613,False,False
RR_OBM_RR,RR + OBM-RR,14.682371684603407,30.333565208120756,99.0,0,1990212659,1.288161905605608,0.2,0.1,20000,19000,100,380,500,0.8433534285194172,0.9410252605005613,False,False
RR_MSB,RR + MSB,14.682371684603407,30.392597867417322,96.0,0,1990212659,1.288161905605608,0.2,0.1,20000,19000,100,380,500,0.8433534285194172,0.9410252605005613,False,False
RR_BATCH,RR + batch means,26.54029772894533,32.1771486647911,96.0,0,1634535063,1.4231973693020514,0.2,0.1,20000,19000,100,380,500,0.6945541001652723,0.9748787957217653,False,False
RR_ORACLE,RR + oracle variance,26.54029772894482,33.92609332029982,98.0,0,1634535063,1.4231973693020514,0.2,0.1,20000,19000,100,380,500,0.6945541001652723,0.9748787957217653,False,False
RR_OBM,RR + OBM,26.54029772894482,31.777084405313133,97.0,0,1634535063,1.4231973693020514,0.2,0.1,20000,19000,100,380,500,0.6945541001652723,0.9748787957217653,False,False
RR_OBM_RR,RR + OBM-RR,26.54029772894482,32.580236917538144,96.0,0,1634535063,1.4231973693020514,0.2,0.1,20000,19000,100,380,500,0.6945541001652723,0.9748787957217653,False,False
RR_MSB,RR + MSB,26.54029772894482,31.60188697222118,97.0,0,1634535063,1.4231973693020514,0.2,0.1,20000,19000,100,380,500,0.6945541001652723,0.9748787957217653,False,False
RR_BATCH,RR + batch means,17.013053023822227,33.45447720359735,90.0,0,1803345591,1.560769649441434,0.2,0.1,20000,19000,100,380,500,0.7700944482408887,0.9718405574716356,False,False
RR_ORACLE,RR + oracle variance,17.013053023822227,35.52799440891195,97.0,0,1803345591,1.560769649441434,0.2,0.1,20000,19000,100,380,500,0.7700944482408887,0.9718405574716356,False,False
RR_OBM,RR + OBM,17.013053023822227,33.612923857471856,96.0,0,1803345591,1.560769649441434,0.2,0.1,20000,19000,100,380,500,0.7700944482408887,0.9718405574716356,False,False
RR_OBM_RR,RR + OBM-RR,17.013053023822227,34.68989370335743,94.0,0,1803345591,1.560769649441434,0.2,0.1,20000,19000,100,380,500,0.7700944482408887,0.9718405574716356,False,False
RR_MSB,RR + MSB,17.013053023822227,33.41927950790508,95.0,0,1803345591,1.560769649441434,0.2,0.1,20000,19000,100,380,500,0.7700944482408887,0.9718405574716356,False,False
RR_BATCH,RR + batch means,28.29441901798374,46.41602594060847,93.0,0,1102145673,3.154660057345609,0.2,0.1,20000,19000,100,380,500,0.7767013668421681,0.9865087667766611,False,False
RR_ORACLE,RR + oracle variance,28.294419017983206,50.51002340042953,97.0,0,1102145673,3.154660057345609,0.2,0.1,20000,19000,100,380,500,0.7767013668421681,0.9865087667766611,False,False
RR_OBM,RR + OBM,28.294419017983206,47.43790321324349,95.0,0,1102145673,3.154660057345609,0.2,0.1,20000,19000,100,380,500,0.7767013668421681,0.9865087667766611,False,False
RR_OBM_RR,RR + OBM-RR,28.294419017983206,48.152122856190225,93.0,0,1102145673,3.154660057345609,0.2,0.1,20000,19000,100,380,500,0.7767013668421681,0.9865087667766611,False,False
RR_MSB,RR + MSB,28.294419017983206,47.0731800151614,96.0,0,1102145673,3.154660057345609,0.2,0.1,20000,19000,100,380,500,0.7767013668421681,0.9865087667766611,False,False
RR_BATCH,RR + batch means,24.051820692433626,47.87813008122921,91.0,0,275121931,3.0829958319904613,0.2,0.1,20000,19000,100,380,500,0.5797995358321507,0.9809040601384286,False,False
RR_ORACLE,RR + oracle variance,24.05182069243363,49.93301098358621,96.0,0,275121931,3.0829958319904613,0.2,0.1,20000,19000,100,380,500,0.5797995358321507,0.9809040601384286,False,False
RR_OBM,RR + OBM,24.05182069243363,47.4042921091922,94.0,0,275121931,3.0829958319904613,0.2,0.1,20000,19000,100,380,500,0.5797995358321507,0.9809040601384286,False,False
RR_OBM_RR,RR + OBM-RR,24.05182069243363,48.306515933421544,93.0,0,275121931,3.0829958319904613,0.2,0.1,20000,19000,100,380,500,0.5797995358321507,0.9809040601384286,False,False
RR_MSB,RR + MSB,24.05182069243363,46.95164443586344,92.0,0,275121931,3.0829958319904613,0.2,0.1,20000,19000,100,380,500,0.5797995358321507,0.9809040601384286,False,False
RR_BATCH,RR + batch means,22.13498472247897,51.58479252426372,90.0,0,191664964,3.6494337442282094,0.2,0.1,20000,19000,100,380,500,0.6170130688482545,0.9783108365748661,False,False
RR_ORACLE,RR + oracle variance,22.134984722478684,54.326787901025384,92.0,0,191664964,3.6494337442282094,0.2,0.1,20000,19000,100,380,500,0.6170130688482545,0.9783108365748661,False,False
RR_OBM,RR + OBM,22.134984722478684,51.75274138781599,91.0,0,191664964,3.6494337442282094,0.2,0.1,20000,19000,100,380,500,0.6170130688482545,0.9783108365748661,False,False
RR_OBM_RR,RR + OBM-RR,22.134984722478684,52.70029335581037,94.0,0,191664964,3.6494337442282094,0.2,0.1,20000,19000,100,380,500,0.6170130688482545,0.9783108365748661,False,False
RR_MSB,RR + MSB,22.134984722478684,50.65857850299678,90.0,0,191664964,3.6494337442282094,0.2,0.1,20000,19000,100,380,500,0.6170130688482545,0.9783108365748661,False,False
RR_BATCH,RR + batch means,20.00697745930313,27.90726495652294,99.0,0,1678403331,1.0130933577483543,0.2,0.1,20000,19000,100,380,500,0.8130787548824936,0.9704160595057733,False,False
RR_ORACLE,RR + oracle variance,20.006977459303123,28.623716391570515,99.0,0,1678403331,1.0130933577483543,0.2,0.1,20000,19000,100,380,500,0.8130787548824936,0.9704160595057733,False,False
RR_OBM,RR + OBM,20.006977459303123,27.497516233467312,98.0,0,1678403331,1.0130933577483543,0.2,0.1,20000,19000,100,380,500,0.8130787548824936,0.9704160595057733,False,False
RR_OBM_RR,RR + OBM-RR,20.006977459303123,28.14155728512889,98.0,0,1678403331,1.0130933577483543,0.2,0.1,20000,19000,100,380,500,0.8130787548824936,0.9704160595057733,False,False
RR_MSB,RR + MSB,20.006977459303123,27.25035566011595,98.0,0,1678403331,1.0130933577483543,0.2,0.1,20000,19000,100,380,500,0.8130787548824936,0.9704160595057733,False,False
RR_BATCH,RR + batch means,19.46254732101748,22.99046878053579,96.0,0,864178267,0.7480735775826947,0.2,0.1,20000,19000,100,380,500,0.8160020274446405,0.9722262482260365,False,False
RR_ORACLE,RR + oracle variance,19.462547321017674,24.59650742487106,96.0,0,864178267,0.7480735775826947,0.2,0.1,20000,19000,100,380,500,0.8160020274446405,0.9722262482260365,False,False
RR_OBM,RR + OBM,19.462547321017674,23.61957310510026,96.0,0,864178267,0.7480735775826947,0.2,0.1,20000,19000,100,380,500,0.8160020274446405,0.9722262482260365,False,False
RR_OBM_RR,RR + OBM-RR,19.462547321017674,23.284237213732645,95.0,0,864178267,0.7480735775826947,0.2,0.1,20000,19000,100,380,500,0.8160020274446405,0.9722262482260365,False,False
RR_MSB,RR + MSB,19.462547321017674,23.22289964188556,94.0,0,864178267,0.7480735775826947,0.2,0.1,20000,19000,100,380,500,0.8160020274446405,0.9722262482260365,False,False
RR_BATCH,RR + batch means,15.663379552510628,29.569897242205318,94.0,0,1171300113,1.2144267650326144,0.2,0.1,20000,19000,100,380,500,0.7602631152445626,0.9706581183138677,False,False
RR_ORACLE,RR + oracle variance,15.663379552510525,31.339131108841734,94.0,0,1171300113,1.2144267650326144,0.2,0.1,20000,19000,100,380,500,0.7602631152445626,0.9706581183138677,False,False
RR_OBM,RR + OBM,15.663379552510525,29.653482644923926,94.0,0,1171300113,1.2144267650326144,0.2,0.1,20000,19000,100,380,500,0.7602631152445626,0.9706581183138677,False,False
RR_OBM_RR,RR + OBM-RR,15.663379552510525,30.18046434740091,93.0,0,1171300113,1.2144267650326144,0.2,0.1,20000,19000,100,380,500,0.7602631152445626,0.9706581183138677,False,False
RR_MSB,RR + MSB,15.663379552510525,29.250327007649446,92.0,0,1171300113,1.2144267650326144,0.2,0.1,20000,19000,100,380,500,0.7602631152445626,0.9706581183138677,False,False
RR_BATCH,RR + batch means,20.571818245813557,20.12333827353354,91.0,0,487991439,0.5788421349952112,0.2,0.1,20000,19000,100,380,500,0.7499907647920281,0.9684521682237308,False,False
RR_ORACLE,RR + oracle variance,20.571818245814303,21.636218296214015,95.0,0,487991439,0.5788421349952112,0.2,0.1,20000,19000,100,380,500,0.7499907647920281,0.9684521682237308,False,False
RR_OBM,RR + OBM,20.571818245814303,20.359378607406946,90.0,0,487991439,0.5788421349952112,0.2,0.1,20000,19000,100,380,500,0.7499907647920281,0.9684521682237308,False,False
RR_OBM_RR,RR + OBM-RR,20.571818245814303,19.970665916390082,90.0,0,487991439,0.5788421349952112,0.2,0.1,20000,19000,100,380,500,0.7499907647920281,0.9684521682237308,False,False
RR_MSB,RR + MSB,20.571818245814303,20.14969577860505,88.0,0,487991439,0.5788421349952112,0.2,0.1,20000,19000,100,380,500,0.7499907647920281,0.9684521682237308,False,False
RR_BATCH,RR + batch means,23.091315322511853,33.69544556350868,93.0,0,952224741,1.5701323961864633,0.2,0.1,20000,19000,100,380,500,0.7938242041958898,0.974776274450555,False,False
RR_ORACLE,RR + oracle variance,23.091315322510933,35.6343977609692,97.0,0,952224741,1.5701323961864633,0.2,0.1,20000,19000,100,380,500,0.7938242041958898,0.974776274450555,False,False
RR_OBM,RR + OBM,23.091315322510933,34.17757393781439,95.0,0,952224741,1.5701323961864633,0.2,0.1,20000,19000,100,380,500,0.7938242041958898,0.974776274450555,False,False
RR_OBM_RR,RR + OBM-RR,23.091315322510933,34.20425068533094,93.0,0,952224741,1.5701323961864633,0.2,0.1,20000,19000,100,380,500,0.7938242041958898,0.974776274450555,False,False
RR_MSB,RR + MSB,23.091315322510933,33.78842002604611,94.0,0,952224741,1.5701323961864633,0.2,0.1,20000,19000,100,380,500,0.7938242041958898,0.974776274450555,False,False
RR_BATCH,RR + batch means,21.09597361341339,32.99341654700664,95.0,0,1382689816,1.4935088068017774,0.2,0.1,20000,19000,100,380,500,0.7014268498840708,0.983754894179103,False,False
RR_ORACLE,RR + oracle variance,21.09597361341331,34.7540306777821,95.0,0,1382689816,1.4935088068017774,0.2,0.1,20000,19000,100,380,500,0.7014268498840708,0.983754894179103,False,False
