estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta_eff
OBM,0.0,10000,170,1.021631023396009,-0.6021208702378189,0.6596311736647813,5.530043287007115,0.5576122303445684
OBM,0.0,30000,286,0.557734019617457,-0.4174969968170634,0.3837500689903483,5.530043287007115,0.5486485385088927
OBM,0.0,100000,554,0.3193911673517502,-0.3335142988210782,0.2083329906591841,5.530043287007115,0.5487019529456859
OBM,0.0,300000,1141,0.2316330305056433,-0.2756791121908888,0.1557638608246407,5.530043287007115,0.5581920688324613
OBM,0.0,1000000,2905,0.1677872015472204,-0.2364027443242884,0.1119942725836519,5.530043287007115,0.5771910227877249
OBM_RR,2.0,10000,35,0.5953532705345703,-0.3570376415704208,0.4682676160497762,5.530043287007115,0.38601701108756886
OBM_RR,2.0,30000,49,0.2938682669050442,-0.2436486932257713,0.2346991638309439,5.530043287007115,0.37751849544989513
OBM_RR,2.0,100000,96,0.1534451379806003,-0.128205126985649,0.1371228524388931,5.530043287007115,0.3964542466079137
OBM_RR,2.0,300000,189,0.1028636992858239,-0.1005845200070485,0.0928238067931031,5.530043287007115,0.41563107667401117
OBM_RR,2.0,1000000,406,0.0710043036353047,-0.1119146630621852,0.0585281853147447,5.530043287007115,0.43475433892953236
OBM_RR,3.0,10000,29,0.6228230661676006,-0.3332790602853235,0.5121749465984315,5.530043287007115,0.365599499474739
OBM_RR,3.0,30000,40,0.3087838312891131,-0.2400598686481716,0.2513645612214201,5.530043287007115,0.3578326116673997
OBM_RR,3.0,100000,77,0.1596987420918443,-0.1388415567649508,0.140538879940213,5.530043287007115,0.3772981450344964
OBM_RR,3.0,300000,149,0.1081587005101319,-0.1181714653401888,0.0942727659277575,5.530043287007115,0.3967752706843269
OBM_RR,3.0,1000000,356,0.0733470123365814,-0.087834747652459,0.0656868084484507,5.530043287007115,0.42524166632881255
OBM_RR,4.0,10000,24,0.6490222993453689,-0.3616469946282477,0.5186659722652794,5.530043287007115,0.3450528104279015
OBM_RR,4.0,30000,36,0.3251529335056929,-0.2106463076172948,0.2810152459645296,5.530043287007115,0.3476123187699405
OBM_RR,4.0,100000,62,0.1672554066060981,-0.176151904889485,0.1363395292843075,5.530043287007115,0.3584783378996508
OBM_RR,4.0,300000,132,0.1145946470149423,-0.1092006356384081,0.102755497772587,5.530043287007115,0.3871694330992838
OBM_RR,4.0,1000000,312,0.0774160296220804,-0.0874471774141039,0.0698272101261584,5.530043287007115,0.4156924323364072
