estimator,lam,label,n_T,T_min,T_max,eta_hat_bstar,C_hat_bstar,r2_log_bstar,mse_power_kappa,D_hat_mse,r2_log_mse,best_x_by_cv,best_cv,best_x_by_slope,best_abs_slope
OBM,0.0,OBM,5,10000,1000000,0.613718567550891,0.5335497326595825,0.9902487144527636,-0.3897796353039919,32.753053519037856,0.9748491445807445,0.61,0.1122098090953075,0.61,0.0037185675508915384
OBM_RR,2.0,OBM-LW(lambda=2),5,10000,1000000,0.5435765330913414,0.20295348501035235,0.9866911781819586,-0.4601239897682981,35.883483820605896,0.9764002566246132,0.54,0.11560013070179379,0.54,0.0035765330913412586
OBM_RR,3.0,OBM-LW(lambda=3),5,10000,1000000,0.5505770031656506,0.15391132775041366,0.9802533016063327,-0.4623117629670375,38.430930020225574,0.977499529213539,0.55,0.1447897072989414,0.55,0.0005770031656509595
OBM_RR,4.0,OBM-LW(lambda=4),5,10000,1000000,0.5588455888763947,0.12011939092564965,0.9802889656701302,-0.45959325650646166,39.16560620418447,0.9775645634938201,0.56,0.14331549005293334,0.56,0.00115441112360519
