scenario,lazy_prob,problem_seed,T,T_eff,sigma_true,rr_alpha_1,rr_alpha_2,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,slem,spectral_gap,relaxation_time,eta,b_n,lam,estimator,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,,0,2.0,ORACLE,8.925122978329632,18.322255925710785,98.0,0,2.1629023445129523,0.0,0.0,2.1629023445129523,0.0,0.0,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.4,100,0.0,OBM,8.925122978329632,15.260122103411222,92.0,0,1.5011507833048683,-0.30595535803402113,0.4426972574249366,1.5011507833048683,-0.30595535803402113,0.4426972574249366,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.4,100,2.0,OBM_RR,8.925122978329632,18.29440164544817,98.0,0,2.159638741084891,-0.0015089000371841656,0.028560111872766917,2.159638741084891,-0.0015089000371841656,0.028560111872766917,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.5,316,0.0,OBM,8.925122978329632,17.419330208794342,95.0,0,1.958051246498539,-0.09471120993238474,0.0660848761879296,1.958051246498539,-0.09471120993238474,0.0660848761879296,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.5,316,2.0,OBM_RR,8.925122978329632,18.351748498886696,98.0,0,2.1804061642347436,0.008092746196422905,0.0911051957021858,2.1804061642347436,0.008092746196422905,0.0911051957021858,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.6,999,0.0,OBM,8.925122978329632,18.049472943392438,97.0,0,2.107510662058653,-0.025609885991765717,0.0752611419963753,2.107510662058653,-0.025609885991765717,0.0752611419963753,0.0,0.0
baseline,0.0,1130604998,100000,99000,2.1629023445129523,0.2,0.1,0.25,0.6,0.35,0.8180013399446049,0.9648496803828693,False,False,0.20179695377965853,0.7982030462203414,1.2528140612031105,0.6,999,2.0,OBM_RR,8.925122978329632,18.116979794179436,94.0,0,2.1410673843797032,-0.010095213123533734,0.23129579922832794,2.1410673843797032,-0.010095213123533734,0.23129579922832794,0.0,0.0
baseline,0.0,275121931,100000,99000,3.0829958319904613,0.2,0.1,0.25,0.6,0.35,0.5797995358321507,0.9809040601384286,False,False,0.18829781923907868,0.8117021807609213,1.2319789495484181,,0,2.0,ORACLE,10.924915787682197,21.87494441709577,91.0,0,3.0829958319904613,0.0,0.0,3.0829958319904613,0.0,0.0,0.0,0.0
baseline,0.0,275121931,100000,99000,3.0829958319904613,0.2,0.1,0.25,0.6,0.35,0.5797995358321507,0.9809040601384286,False,False,0.18829781923907868,0.8117021807609213,1.2319789495484181,0.4,100,0.0,OBM,10.924915787682197,18.245680127854534,87.0,0,2.1459886653807034,-0.30392748406824865,0.887641592843109,2.1459886653807034,-0.30392748406824865,0.887641592843109,0.0,0.0
baseline,0.0,275121931,100000,99000,3.0829958319904613,0.2,0.1,0.25,0.6,0.35,0.5797995358321507,0.9809040601384286,False,False,0.18829781923907868,0.8117021807609213,1.2319789495484181,0.4,100,2.0,OBM_RR,10.924915787682197,21.83237359001969,92.0,0,3.0751337558117404,-0.0025501416826908146,0.05036331654762498,3.0751337558117404,-0.0025501416826908146,0.05036331654762498,0.0,0.0
