scenario,eig_min,eig_max,noise_target,T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,max_a_norm_median,max_rho_median,warn_unstable_rate,warn_assumption_rate,width_ratio_to_oracle
baseline,0.25,0.6,0.35,100000,0.4,100,OBM,99000,100,1.9166471869362713,9.388474294298888,14.43540165546263,89.0,89.53,-0.2980337155887338,-0.2949401598422425,-0.2980337155887338,0.6914539221523764,0.6914539221523764,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.8369581430893749
baseline,0.25,0.6,0.35,100000,0.4,100,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.123482093690356,95.0,94.52,-0.009852954778077974,-0.010295495351336363,-0.009852954778077974,0.03205093864556861,0.03205093864556861,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9928118467653358
baseline,0.25,0.6,0.35,100000,0.5,316,OBM,99000,100,1.9166471869362713,9.388474294298888,16.345913486278576,93.5,93.31,-0.09677781877714266,-0.09697077136097786,-0.09677781877714266,0.10037683817303986,0.10037683817303986,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9477287660643786
baseline,0.25,0.6,0.35,100000,0.5,316,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,17.089828966986804,95.0,94.53,-0.004822767948609644,-0.005466669097913293,-0.004822767948609644,0.10813339468209592,0.10813339468209592,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9908606535039902
baseline,0.25,0.6,0.35,100000,0.6,999,OBM,99000,100,1.9166471869362713,9.388474294298888,16.865102360786153,94.0,94.07,-0.03857257283181094,-0.03757960612445111,-0.03857257283181094,0.09631882397374848,0.09631882397374848,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9778311052089279
baseline,0.25,0.6,0.35,100000,0.6,999,OBM_RR,99000,100,1.9166471869362713,9.388474294298888,16.756557339986735,94.0,93.47,-0.028683644855221575,-0.028536628157272818,-0.028683644855221575,0.34025574801933317,0.34025574801933317,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9715377133644758
baseline,0.25,0.6,0.35,100000,,0,ORACLE,99000,100,1.9166471869362713,9.388474294298888,17.247459475307526,95.0,94.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,1.0
baseline,0.25,0.6,0.35,1000000,0.4,251,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.102019500591635,93.0,93.27,-0.12107366348587859,-0.12005437711476417,-0.12107366348587859,0.12004404511675837,0.12004404511675837,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9396846396687231
baseline,0.25,0.6,0.35,1000000,0.4,251,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.440307419196385,95.0,94.82,0.0018944033793545571,0.0025502860409420667,0.0018944033793545571,0.008014089805095898,0.008014089805095898,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,1.0019901563100304
baseline,0.25,0.6,0.35,1000000,0.5,1000,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.357217396990707,95.0,94.46,-0.028336605730914836,-0.028826113737873926,-0.028336605730914836,0.015453872259888767,0.015453872259888767,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9866867225290826
baseline,0.25,0.6,0.35,1000000,0.5,1000,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.43222713427089,95.0,94.72,-0.0008523112759606423,-0.000573566321395212,-0.0008523112759606423,0.03434929879296414,0.03434929879296414,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,1.0005019378452138
baseline,0.25,0.6,0.35,1000000,0.6,3981,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.416808398036517,95.0,94.6,-0.009508047492664488,-0.008748269205710127,-0.009508047492664488,0.03517505981035836,0.03517505981035836,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9976621310587319
baseline,0.25,0.6,0.35,1000000,0.6,3981,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.391139513733224,95.0,94.41,-0.011052765245241796,-0.009395161524477492,-0.011052765245241796,0.13820542038212077,0.13820542038212077,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,0.9929344626728228
baseline,0.25,0.6,0.35,1000000,,0,ORACLE,999000,100,1.9166471869362713,2.9734129221115366,5.42950186180579,95.0,94.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7703926078718233,0.9723602790180893,0.0,0.0,1.0
high_noise,0.25,0.6,0.45,100000,0.4,100,OBM,99000,100,1.9397431873211217,9.55294608963132,14.44768571489732,90.0,89.49,-0.297586366171531,-0.293483910107282,-0.297586366171531,0.7010834202528109,0.7010834202528109,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.8326715159165753
high_noise,0.25,0.6,0.45,100000,0.4,100,OBM_RR,99000,100,1.9397431873211217,9.55294608963132,17.180742948115196,95.0,94.5,-0.008275545218868226,-0.008384937864574938,-0.008275545218868226,0.03259265224757333,0.03259265224757333,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9901873253256716
high_noise,0.25,0.6,0.45,100000,0.5,316,OBM,99000,100,1.9397431873211217,9.55294608963132,16.505245135273213,93.5,93.38,-0.09576073889174158,-0.0951947186044248,-0.09576073889174158,0.10058254725930504,0.10058254725930504,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9512559837311149
high_noise,0.25,0.6,0.45,100000,0.5,316,OBM_RR,99000,100,1.9397431873211217,9.55294608963132,17.200691039299606,95.0,94.49,-0.0025312419237768814,-0.0036323928935147656,-0.0025312419237768814,0.1108637118949342,0.1108637118949342,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9913370047728814
high_noise,0.25,0.6,0.45,100000,0.6,999,OBM,99000,100,1.9397431873211217,9.55294608963132,16.95452697749714,94.5,94.16,-0.036886345133805655,-0.0358058259000734,-0.036886345133805655,0.09804368068057498,0.09804368068057498,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9771496943239913
high_noise,0.25,0.6,0.45,100000,0.6,999,OBM_RR,99000,100,1.9397431873211217,9.55294608963132,16.85247997773153,94.0,93.53,-0.026172952980113327,-0.02688259121296356,-0.026172952980113327,0.3486638606935654,0.3486638606935654,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9712683627622208
high_noise,0.25,0.6,0.45,100000,,0,ORACLE,99000,100,1.9397431873211217,9.55294608963132,17.351002692813168,95.0,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,1.0
high_noise,0.25,0.6,0.45,1000000,0.4,251,OBM,999000,100,1.9397431873211217,2.9978848569251584,5.150204590520214,93.0,93.16,-0.1200562918669808,-0.1183113922007429,-0.1200562918669808,0.12018714749100709,0.12018714749100709,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9428987310014533
high_noise,0.25,0.6,0.45,1000000,0.4,251,OBM_RR,999000,100,1.9397431873211217,2.9978848569251584,5.466623797171195,95.0,94.82,0.0031574104636691597,0.004487945180634938,0.0031574104636691597,0.008317631349546658,0.008317631349546658,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,1.000828714785954
high_noise,0.25,0.6,0.45,1000000,0.5,1000,OBM,999000,100,1.9397431873211217,2.9978848569251584,5.3803696604866325,95.0,94.51,-0.02675611433121298,-0.026930021124903492,-0.02675611433121298,0.015257199559133792,0.015257199559133792,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9850373195910527
high_noise,0.25,0.6,0.45,1000000,0.5,1000,OBM_RR,999000,100,1.9397431873211217,2.9978848569251584,5.442509077508465,95.0,94.7,0.001366688302109849,0.001364000650962311,0.001366688302109849,0.03527791975923886,0.03527791975923886,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9964137953067751
high_noise,0.25,0.6,0.45,1000000,0.6,3981,OBM,999000,100,1.9397431873211217,2.9978848569251584,5.4177284334279125,95.0,94.59,-0.007988360728942823,-0.006869516296292502,-0.007988360728942823,0.036001825174012264,0.036001825174012264,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.99187695847898
high_noise,0.25,0.6,0.45,1000000,0.6,3981,OBM_RR,999000,100,1.9397431873211217,2.9978848569251584,5.431708314731982,95.0,94.42,-0.009610988845778677,-0.00754248465423174,-0.009610988845778677,0.1419885178960218,0.1419885178960218,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,0.9944363931789959
high_noise,0.25,0.6,0.45,1000000,,0,ORACLE,999000,100,1.9397431873211217,2.9978848569251584,5.462097276395927,95.0,94.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8277933002072662,0.9815390838549234,0.07,0.0,1.0
weak_high_noise,0.15,0.35,0.25,100000,0.4,100,OBM,99000,100,5.582223017879043,16.11951651336812,21.46585320242501,85.0,84.92,-0.45728542922265125,-0.4503557284757864,-0.45728542922265125,12.453244943195012,12.453244943195012,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.7293094761182553
weak_high_noise,0.15,0.35,0.25,100000,0.4,100,OBM_RR,99000,100,5.582223017879043,16.11951651336812,28.301218054943245,94.0,93.87,-0.060331708045328114,-0.0621099380428591,-0.060331708045328114,0.5729344636938886,0.5729344636938886,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9615432621530932
weak_high_noise,0.15,0.35,0.25,100000,0.5,316,OBM,99000,100,5.582223017879043,16.11951651336812,26.68679846521546,92.0,92.14,-0.16710729967004806,-0.16574307802140772,-0.16710729967004806,1.9654372242106524,1.9654372242106524,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9066928215898266
