problem_seed,T,T_eff,eta,b_n,lam,estimator,sigma_true,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate,scenario,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,rr_alpha_1,rr_alpha_2
1634535063,100000,99000,,0,2.0,ORACLE,1.4231973693020514,11.98050951736882,14.862540653010347,95.0,0,1.4231973693020514,0.0,0.0,1.4231973693020514,0.0,0.0,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,,
1634535063,100000,99000,0.4,100,0.0,OBM,1.4231973693020514,11.98050951736882,12.102301877733117,86.0,0,0.9440458184471225,-0.33667259453262555,0.23105091291023844,0.9440458184471225,-0.33667259453262555,0.23105091291023844,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
1634535063,100000,99000,0.4,100,2.0,OBM_RR,1.4231973693020514,11.98050951736882,14.767235179813836,95.0,0,1.4064315669095147,-0.011780377587936994,0.00843220635761308,1.4064315669095147,-0.011780377587936994,0.00843220635761308,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
1634535063,100000,99000,0.5,316,0.0,OBM,1.4231973693020514,11.98050951736882,14.027935480401784,90.0,0,1.2692811743984822,-0.10814817271553213,0.031051654647901952,1.2692811743984822,-0.10814817271553213,0.031051654647901952,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
1634535063,100000,99000,0.5,316,2.0,OBM_RR,1.4231973693020514,11.98050951736882,14.959357807975742,93.0,0,1.448243546727889,0.017598527067345795,0.03804282846036266,1.448243546727889,0.017598527067345795,0.03804282846036266,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
1634535063,100000,99000,0.6,999,0.0,OBM,1.4231973693020514,11.98050951736882,14.70631121343623,93.0,0,1.3989525385792332,-0.01703546622961236,0.0319053178453314,1.3989525385792332,-0.01703546622961236,0.0319053178453314,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
1634535063,100000,99000,0.6,999,2.0,OBM_RR,1.4231973693020514,11.98050951736882,14.932657872947965,93.0,0,1.4586902442778982,0.024938828402453248,0.12961935210195974,1.4586902442778982,0.024938828402453248,0.12961935210195974,0.0,0.0,baseline,0.25,0.6,0.35,0.6945541001652723,0.9748787957217653,False,False,0.2,0.1
2095133046,100000,99000,,0,2.0,ORACLE,7.757954275853825,11.057579477861584,34.70036933027354,96.0,0,7.757954275853825,0.0,0.0,7.757954275853825,0.0,0.0,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,,
2095133046,100000,99000,0.4,100,0.0,OBM,7.757954275853825,11.057579477861584,26.946312332840325,92.0,0,4.681168693161335,-0.3965975401877275,9.523047215962698,4.681168693161335,-0.3965975401877275,9.523047215962698,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
2095133046,100000,99000,0.4,100,2.0,OBM_RR,7.757954275853825,11.057579477861584,34.23001176523761,96.0,0,7.559106487416377,-0.02563147208231809,0.3493530378639804,7.559106487416377,-0.02563147208231809,0.3493530378639804,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
2095133046,100000,99000,0.5,316,0.0,OBM,7.757954275853825,11.057579477861584,32.31819542522849,95.0,0,6.739708444564652,-0.13125184746942928,1.321550873744898,6.739708444564652,-0.13125184746942928,1.321550873744898,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
2095133046,100000,99000,0.5,316,2.0,OBM_RR,7.757954275853825,11.057579477861584,34.62750613099403,97.0,0,7.763554342631639,0.000721848386660856,1.1905558839436643,7.763554342631639,0.000721848386660856,1.1905558839436643,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
2095133046,100000,99000,0.6,999,0.0,OBM,7.757954275853825,11.057579477861584,33.79335216474375,96.0,0,7.385725379368063,-0.04798029006748626,0.9808274610336245,7.385725379368063,-0.04798029006748626,0.9808274610336245,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
2095133046,100000,99000,0.6,999,2.0,OBM_RR,7.757954275853825,11.057579477861584,33.38007037869479,96.0,0,7.272940405113819,-0.06251826879794624,3.024228991840443,7.272940405113819,-0.06251826879794624,3.024228991840443,0.0,0.0,baseline,0.25,0.6,0.35,0.7856952072177379,0.9732366535263169,False,False,0.2,0.1
