T,b,estimator,lam,sigma_true,mean,bias,var,mse,mean_clamped,mse_clamped,n_traj_used
10000,5,OBM,0.0,5.530043287007115,0.7015035203865265,-4.8285397666205885,0.002208005873150104,23.317002443704663,,,1200
10000,5,OBM_RR,2.0,5.530043287007115,1.8630376211795676,-3.6670056658275474,0.01905801695070527,13.465972688481246,1.8630376211795676,13.465972688481246,1200
10000,5,OBM_RR,3.0,5.530043287007115,2.301881432682737,-3.228161854324378,0.03253149870269037,10.453533346835446,2.301881432682737,10.453533346835446,1200
10000,5,OBM_RR,4.0,5.530043287007115,2.6698931883317756,-2.8601500986753394,0.048460814380049025,8.228879017320622,2.6698931883317756,8.228879017320622,1200
10000,6,OBM,0.0,5.530043287007115,0.8262393235100789,-4.703803963497036,0.003163063823176844,22.128932154947083,,,1200
10000,6,OBM_RR,2.0,5.530043287007115,2.1477437690094736,-3.3822995179976414,0.026923209997646743,11.466850803436392,2.1477437690094736,11.466850803436392,1200
10000,6,OBM_RR,3.0,5.530043287007115,2.620302388986046,-2.909740898021069,0.04540215293964298,8.511956411428649,2.620302388986046,8.511956411428649,1200
10000,6,OBM_RR,4.0,5.530043287007115,3.0040978753130076,-2.5259454116941074,0.0667797316426615,6.447124304724805,3.0040978753130076,6.447124304724805,1200
10000,7,OBM,0.0,5.530043287007115,0.946497165243135,-4.58354612176398,0.0042802548085466826,21.01317173826716,,,1200
10000,7,OBM_RR,2.0,5.530043287007115,2.4091920182469897,-3.1208512687601253,0.03589797326029194,9.775580700004259,2.4091920182469897,9.775580700004259,1200
10000,7,OBM_RR,3.0,5.530043287007115,2.9043891753698947,-2.6256541116372203,0.05978869246955963,6.953798382516609,2.9043891753698947,6.953798382516609,1200
10000,7,OBM_RR,4.0,5.530043287007115,3.294302467615313,-2.235740819391802,0.08687427808339537,5.0853388943463855,3.294302467615313,5.0853388943463855,1200
10000,8,OBM,0.0,5.530043287007115,1.0624684169163163,-4.4675748700907985,0.005554547504761935,19.96477513858199,,,1200
10000,8,OBM_RR,2.0,5.530043287007115,2.6494105915769044,-2.8806326954302106,0.045870927503384916,8.343877427711986,2.6494105915769044,8.343877427711986,1200
10000,8,OBM_RR,3.0,5.530043287007115,3.1582156475852554,-2.3718276394218596,0.07546089475768515,5.700964361804191,3.1582156475852554,5.700964361804191,1200
10000,8,OBM_RR,4.0,5.530043287007115,3.5469980793335467,-1.9830452076735683,0.10840499515888596,4.040782953340027,3.5469980793335467,4.040782953340027,1200
10000,9,OBM,0.0,5.530043287007115,1.1743352549725468,-4.355708032034569,0.006981280006056815,18.97916792260317,,,1200
10000,9,OBM_RR,2.0,5.530043287007115,2.8702274793489004,-2.6598158076582146,0.05673476433851832,7.131307616036756,2.8702274793489004,7.131307616036756,1200
10000,9,OBM_RR,3.0,5.530043287007115,3.385336151159322,-2.144707135847793,0.0922268940754132,4.691918736886792,3.385336151159322,4.691918736886792,1200
10000,9,OBM_RR,4.0,5.530043287007115,3.7675959007894972,-1.7624473862176178,0.13107399500539357,3.237185555861535,3.7675959007894972,3.237185555861535,1200
10000,10,OBM,0.0,5.530043287007115,1.282270570783047,-4.247772716224068,0.00855546291305506,18.052121382058225,,,1200
10000,10,OBM_RR,2.0,5.530043287007115,3.0733209719078793,-2.4567223150992357,0.06839687978496788,6.103824415891696,3.0733209719078793,6.103824415891696,1200
10000,10,OBM_RR,3.0,5.530043287007115,3.58884192065163,-1.941201366355485,0.10992208890751147,3.8780932319071555,3.58884192065163,3.8780932319071555,1200
10000,10,OBM_RR,4.0,5.530043287007115,3.960618819995996,-1.5694244670111188,0.15463454093502055,2.6175988364707066,3.960618819995996,2.6175988364707066,1200
10000,11,OBM,0.0,5.530043287007115,1.3864379036866916,-4.143605383320423,0.010272012360831648,17.179729025032522,,,1200
