problem,iterate,estimator,b,lam,T,sigma_true,mean,var,mse,rel_bias,bias
1497586439,PR,OBM,7,0.0,20000,2.4820369963571625,0.763557951591465,0.0005716033512827676,2.9537380199610985,-0.6923664100446028,-1.7184790447656975
1497586439,PR,OBM_RR,7,2.0,20000,2.4820369963571625,1.6833687693454096,0.0044190731955685335,0.6422605495456952,-0.32177934018870097,-0.7986682270117529
1497586439,PR,OBM_RR,7,3.0,20000,2.4820369963571625,1.8924634273568162,0.006954308784258452,0.35450493998950267,-0.23753617285546186,-0.5895735690003463
1497586439,PR,OBM_RR,7,4.0,20000,2.4820369963571625,2.0270057034928133,0.00970690597199131,0.21669567075131263,-0.18332977853762444,-0.4550312928643492
1497586439,PR,OBM,19,0.0,20000,2.4820369963571625,1.4448259057407962,0.003397446638546879,1.079181643491882,-0.41788703880669825,-1.0372110906163663
1497586439,PR,OBM_RR,19,2.0,20000,2.4820369963571625,2.3419107001269146,0.02111809650234079,0.040612688087532385,-0.05645616742857117,-0.14012629623024786
1497586439,PR,OBM_RR,19,3.0,20000,2.4820369963571625,2.4043924458103394,0.028107326502562237,0.033948620555496675,-0.03128259194394784,-0.07764455054682307
1497586439,PR,OBM_RR,19,4.0,20000,2.4820369963571625,2.427752181790653,0.034492298244344737,0.037209190681902767,-0.021871073898649424,-0.054284814566509354
1497586439,PR,OBM,52,0.0,20000,2.4820369963571625,2.046792495033317,0.014753367730555229,0.20409278787832813,-0.17535778151681278,-0.4352445013238455
1497586439,PR,OBM_RR,52,2.0,20000,2.4820369963571625,2.473623551056634,0.0650623833198528,0.06469942015954541,-0.00338973404219063,-0.008413445300528455
1497586439,PR,OBM_RR,52,3.0,20000,2.4820369963571625,2.468159638419416,0.08730060244773508,0.08691117949474916,-0.005591116473329769,-0.01387735793774647
1497586439,PR,OBM_RR,52,4.0,20000,2.4820369963571625,2.467892046729533,0.11141630263821133,0.11087360688725809,-0.005698927795351005,-0.014144949627629355
1497586439,PR,OBM,141,0.0,20000,2.4820369963571625,2.313775541389726,0.0458728355942855,0.07387893391808227,-0.06779167885667718,-0.16826145496743639
1497586439,PR,OBM_RR,141,2.0,20000,2.4820369963571625,2.457386237829317,0.21497168925317148,0.21414620455414848,-0.009931664420806258,-0.024650758527845262
1497586439,PR,OBM_RR,141,3.0,20000,2.4820369963571625,2.4348569904263764,0.24704234513611015,0.24762134912816502,-0.019008582869647496,-0.047180005930786084
1497586439,PR,OBM_RR,141,4.0,20000,2.4820369963571625,2.4104406434258765,0.2961687341156906,0.29932031364131395,-0.028845804086065817,-0.07159635293128597
1497586439,PR,OBM,380,0.0,20000,2.4820369963571625,2.3936830141904957,0.13230078633300887,0.1392252072554965,-0.03559736712077306,-0.08835398216666679
1497586439,PR,OBM_RR,380,2.0,20000,2.4820369963571625,2.310989969579499,0.5775746646564844,0.6029812522615864,-0.06891397147935578,-0.17104702677766337
1497586439,PR,OBM_RR,380,3.0,20000,2.4820369963571625,2.2579733050686372,0.7349707411186629,0.7802754739317114,-0.09027411421239052,-0.2240636912885252
1497586439,PR,OBM_RR,380,4.0,20000,2.4820369963571625,2.2187177929096,0.869719220770792,0.9332580955365787,-0.10608995910779369,-0.26331920344756243
1497586439,PR,OBM,1024,0.0,20000,2.4820369963571625,2.3164502998590977,0.3851976351768321,0.410048604999462,-0.066714032361763,-0.1655866964980648
1497586439,PR,OBM_RR,1024,2.0,20000,2.4820369963571625,2.100156894065878,1.4733838913904553,1.6093937446405207,-0.15385753832507837,-0.38188010229128455
1497586439,PR,OBM_RR,1024,3.0,20000,2.4820369963571625,2.02363699444539,1.9163991036820478,2.1137536714102136,-0.18468701416802305,-0.45840000191177266
1497586439,PR,OBM_RR,1024,4.0,20000,2.4820369963571625,1.929019379929027,2.4182309180505763,2.7079378626767623,-0.22280796669823566,-0.5530176164281355
1497586439,PR,OBM,2759,0.0,20000,2.4820369963571625,2.146792939883634,0.9986898126881567,1.1044204580043948,-0.13506811420037637,-0.3352440564735284
1497586439,PR,OBM_RR,2759,2.0,20000,2.4820369963571625,1.6593667948662176,3.6204528054290583,4.273102713814017,-0.3314496128375048,-0.8226702014909448
1497586439,PR,OBM_RR,2759,3.0,20000,2.4820369963571625,1.3377563008830222,2.113887111526212,3.4091728408174857,-0.4610248345022974,-1.1442806954741402
1497586439,PR,OBM_RR,2759,4.0,20000,2.4820369963571625,1.0343446754260095,1.3929553435458395,3.479482030671895,-0.5832678251999881,-1.447692320931153
1405681632,PR,OBM,7,0.0,20000,1.0944420187069794,0.30345476380659275,0.00015795684659285187,0.6258177412157983,-0.7227310733508686,-0.7909872549003867
1405681632,PR,OBM_RR,7,2.0,20000,1.0944420187069794,0.6953702375742249,0.0012307164868675866,0.16048079820675756,-0.3646349229210287,-0.39907178113275454
1405681632,PR,OBM_RR,7,3.0,20000,1.0944420187069794,0.795506377590918,0.001925386752707514,0.09127506837049347,-0.273139769861209,-0.2989356411160614
1405681632,PR,OBM_RR,7,4.0,20000,1.0944420187069794,0.8637356573579753,0.0026213686112144794,0.055829317987370314,-0.21079815778781089,-0.23070636134900413
1405681632,PR,OBM,19,0.0,20000,1.0944420187069794,0.5986369119552045,0.0009466146524513402,0.24676300776924062,-0.45302089857399686,-0.4958051067517749
1405681632,PR,OBM_RR,19,2.0,20000,1.0944420187069794,1.0272607751425222,0.00530868750399124,0.009786615740831542,-0.06138401342067257,-0.0671812435644572
1405681632,PR,OBM_RR,19,3.0,20000,1.0944420187069794,1.0656230127968842,0.007271124548555511,0.008053185486544573,-0.026332144981187067,-0.02881900591009523
1405681632,PR,OBM_RR,19,4.0,20000,1.0944420187069794,1.0822492721816666,0.00923825195091226,0.009325326672403373,-0.011140605273651603,-0.01219274652531288
1405681632,PR,OBM,52,0.0,20000,1.0944420187069794,0.8904625013930502,0.003868462925070075,0.045450316655859975,-0.18637763703089488,-0.20397951731392927
1405681632,PR,OBM_RR,52,2.0,20000,1.0944420187069794,1.1142257471309176,0.017956227242685353,0.01822791497141959,0.018076543193500105,0.019783728423938163
1405681632,PR,OBM_RR,52,3.0,20000,1.0944420187069794,1.1125855582147868,0.022901420100604482,0.02307793199247182,0.0165778901007866,0.018143539507807338
1405681632,PR,OBM_RR,52,4.0,20000,1.0944420187069794,1.108267171033083,0.027184808256279332,0.027194711038077433,0.012632146874657746,0.013825152326103485
1405681632,PR,OBM,141,0.0,20000,1.0944420187069794,1.0311931409325048,0.012140399648830867,0.016059884190902422,-0.05779098087736028,-0.06324887777447463
1405681632,PR,OBM_RR,141,2.0,20000,1.0944420187069794,1.1009356384093973,0.04988844444170472,0.04959802190893298,0.005933269731447032,0.006493619702417908
1405681632,PR,OBM_RR,141,3.0,20000,1.0944420187069794,1.11255321901934,0.062271198381791314,0.062184072636000495,0.016548341531840864,0.018111200312360465
1405681632,PR,OBM_RR,141,4.0,20000,1.0944420187069794,1.1177989354389914,0.07405797779662304,0.0741098035038717,0.02134139253864437,0.023356916732012012
1405681632,PR,OBM,380,0.0,20000,1.0944420187069794,1.0812813629358098,0.03394455161396997,0.033891457463537396,-0.012024991316322276,-0.01316065577116965
1405681632,PR,OBM_RR,380,2.0,20000,1.0944420187069794,1.1332118959544948,0.12993004719894957,0.13056695026607731,0.03542433183744146,0.03876987724751535
1405681632,PR,OBM_RR,380,3.0,20000,1.0944420187069794,1.1206055715339698,0.15631220060828674,0.15595465076742887,0.023905837294058832,0.026163552826990344
1405681632,PR,OBM_RR,380,4.0,20000,1.0944420187069794,1.0944296640642566,0.1858876061376165,0.1846483555826696,-1.1288531061210011e-05,-1.2354642722867126e-05
1405681632,PR,OBM,1024,0.0,20000,1.0944420187069794,1.1088527166136055,0.08548200401736096,0.08511979220473459,0.013167164326943051,0.01441069790662608
1405681632,PR,OBM_RR,1024,2.0,20000,1.0944420187069794,1.0349972389507627,0.30819540935674405,0.3096744551346309,-0.054315147573050386,-0.05944477975621676
1405681632,PR,OBM_RR,1024,3.0,20000,1.0944420187069794,0.980538451030786,0.3685562687989726,0.3790732497363446,-0.10407455646738054,-0.11390356767619347
1405681632,PR,OBM_RR,1024,4.0,20000,1.0944420187069794,0.9123338007842174,0.42653396601649957,0.4568538092780604,-0.16639366436050437,-0.182108217922762
1405681632,PR,OBM,2759,0.0,20000,1.0944420187069794,1.0407843478229697,0.20149338696464783,0.20302924336291356,-0.04902742216294218,-0.053657670884009745
1405681632,PR,OBM_RR,2759,2.0,20000,1.0944420187069794,0.7579112693798066,0.7386266760726885,0.8469554434749125,-0.30749070629138003,-0.33653074932717286
1405681632,PR,OBM_RR,2759,3.0,20000,1.0944420187069794,0.584542087020526,0.5734080281544821,0.8295832483006353,-0.4658994473630234,-0.5098999316864534
1405681632,PR,OBM_RR,2759,4.0,20000,1.0944420187069794,0.38376365588590733,0.24412393264804402,0.747560175145763,-0.6493522275951155,-0.7106783628210721
184566854,PR,OBM,7,0.0,20000,2.111226992591497,0.6566138136407873,0.00042983822380902024,2.116326473012739,-0.6889894758143441,-1.4546131789507095
184566854,PR,OBM_RR,7,2.0,20000,2.111226992591497,1.4356981996919203,0.003337623759812791,0.4596545229711063,-0.31996975941955724,-0.6755287928995766
184566854,PR,OBM_RR,7,3.0,20000,2.111226992591497,1.6106829801713451,0.00537013855728829,0.25587864600323806,-0.23708678137244826,-0.5005440124201517
184566854,PR,OBM_RR,7,4.0,20000,2.111226992591497,1.7235749472239008,0.007634827292648743,0.1578580367217117,-0.183614574239485,-0.387652045367596
184566854,PR,OBM,19,0.0,20000,2.111226992591497,1.2325683243249796,0.0025896666029865158,0.7746134574788563,-0.41618389275516887,-0.8786586682665172
184566854,PR,OBM_RR,19,2.0,20000,2.111226992591497,1.9869288879407339,0.016851794074931193,0.032189467600870374,-0.05887481786038983,-0.12429810465076296
184566854,PR,OBM_RR,19,3.0,20000,2.111226992591497,2.040275351696702,0.023070309290468386,0.027950642574195873,-0.03360682728279398,-0.070951640894795
184566854,PR,OBM_RR,19,4.0,20000,2.111226992591497,2.0638606349342576,0.02952049033980317,0.031567258908584625,-0.022435464222204618,-0.04736635765723918
184566854,PR,OBM,52,0.0,20000,2.111226992591497,1.7387274055968729,0.011954634350400598,0.15063087909923004,-0.17643748791662933,-0.37249958699462393
184566854,PR,OBM_RR,52,2.0,20000,2.111226992591497,2.1097597418256298,0.05942601987600134,0.059031999234971266,-0.0006949753726225531,-0.0014672507658670675
184566854,PR,OBM_RR,52,3.0,20000,2.111226992591497,2.1029994711143716,0.07388462145729646,0.07345974942390437,-0.0038970331025495724,-0.008227521477125244
184566854,PR,OBM_RR,52,4.0,20000,2.111226992591497,2.0955114486924935,0.08441160792655514,0.0840958421937529,-0.007443796405668696,-0.015715543899003315
184566854,PR,OBM,141,0.0,20000,2.111226992591497,1.970270135741771,0.039454343718503225,0.05906015025333391,-0.06676537262187221,-0.14095685684972592
184566854,PR,OBM_RR,141,2.0,20000,2.111226992591497,2.0706020393162725,0.14037069686865492,0.14108527905147802,-0.01924234268403221,-0.04062495327522431
184566854,PR,OBM_RR,141,3.0,20000,2.111226992591497,2.0451306264641906,0.18115278089800982,0.18431382530725798,-0.031307086523261037,-0.06609636612730618
184566854,PR,OBM_RR,141,4.0,20000,2.111226992591497,2.02268612208961,0.22519513833621482,0.2315333231632053,-0.04193811030864292,-0.08854087050188664
184566854,PR,OBM,380,0.0,20000,2.111226992591497,2.022320807878452,0.09716460180373612,0.10442114747194124,-0.042111144384296695,-0.08890618471304501
184566854,PR,OBM_RR,380,2.0,20000,2.111226992591497,1.95988305507099,0.4417240342294303,0.4616841947587784,-0.07168529866830405,-0.1513439375205068
184566854,PR,OBM_RR,380,3.0,20000,2.111226992591497,1.9291958496550186,0.5362684077165643,0.5658286219972145,-0.08622054548148704,-0.18203114293647826
184566854,PR,OBM_RR,380,4.0,20000,2.111226992591497,1.8709034020397743,0.6642503523669365,0.7175774448601622,-0.11383124192473931,-0.24032359055172248
184566854,PR,OBM,1024,0.0,20000,2.111226992591497,1.9722834824587359,0.2835862658115599,0.3010009897141622,-0.06581173441810255,-0.13894351013276096
184566854,PR,OBM_RR,1024,2.0,20000,2.111226992591497,1.7376570254879755,1.1798003996945918,1.3114895840183534,-0.17694448224393447,-0.3735699671035213
184566854,PR,OBM_RR,1024,3.0,20000,2.111226992591497,1.6238921516588154,1.3804046450804421,1.608697194633454,-0.23083014883893932,-0.4873348409326814
184566854,PR,OBM_RR,1024,4.0,20000,2.111226992591497,1.5045735398880538,1.331583572699901,1.6907347605589105,-0.2873463890108689,-0.6066534527034431
184566854,PR,OBM,2759,0.0,20000,2.111226992591497,1.7792204161184326,0.7732113260955606,0.878284950742955,-0.15725764100123196,-0.3320065764730642
184566854,PR,OBM_RR,2759,2.0,20000,2.111226992591497,1.1810548952387832,1.3002954117959882,2.1568469064108946,-0.44058365141066264,-0.9301720973527137
184566854,PR,OBM_RR,2759,3.0,20000,2.111226992591497,0.9279595879025512,1.1167438218943997,2.5094206140810837,-0.5604643218569806,-1.1832674046889458
184566854,PR,OBM_RR,2759,4.0,20000,2.111226992591497,0.7106665176955822,0.5474449791320033,2.50536498977846,-0.6633869687203787,-1.4005604748959146
1843824993,PR,OBM,7,0.0,20000,1.7001381961701998,0.5538849218124187,0.00035428300664511035,1.314248490095869,-0.6742118240387033,-1.1462532743577811
1843824993,PR,OBM_RR,7,2.0,20000,1.7001381961701998,1.1920746866372822,0.002693150580937037,0.2608037259626356,-0.29883659497645665,-0.5080635095329176
1843824993,PR,OBM_RR,7,3.0,20000,1.7001381961701998,1.3297142819268342,0.004123054895438708,0.14130944410617866,-0.217878708376647,-0.3704239142433656
1843824993,PR,OBM_RR,7,4.0,20000,1.7001381961701998,1.4172396698691683,0.005581602091559377,0.08557596759424452,-0.16639737107154007,-0.2828985263010315
1843824993,PR,OBM,19,0.0,20000,1.7001381961701998,1.0230831064214925,0.0020420806205057257,0.46043206130433245,-0.39823532655984617,-0.6770550897487073
1843824993,PR,OBM_RR,19,2.0,20000,1.7001381961701998,1.6198784096661356,0.01148025911865321,0.017845357387540155,-0.047207801509818806,-0.08025978650406418
1843824993,PR,OBM_RR,19,3.0,20000,1.7001381961701998,1.656542506860778,0.015812916489168213,0.01760808117227076,-0.025642438601536765,-0.043595689309421815
1843824993,PR,OBM_RR,19,4.0,20000,1.7001381961701998,1.6695543894748923,0.019604905210529676,0.020409575074435415,-0.017989012166306124,-0.03058380669530747
1843824993,PR,OBM,52,0.0,20000,1.7001381961701998,1.4210029451588737,0.00839702516842538,0.08625753335779203,-0.16418385966512455,-0.2791352510113261
1843824993,PR,OBM_RR,52,2.0,20000,1.7001381961701998,1.6905335498824225,0.03499715027603073,0.0348560851711705,-0.0056493326891973,-0.009604646287777241
1843824993,PR,OBM_RR,52,3.0,20000,1.7001381961701998,1.6871946542917158,0.043381724008782464,0.043260047791750654,-0.007613229270209421,-0.01294354187848401
1843824993,PR,OBM_RR,52,4.0,20000,1.7001381961701998,1.6839565789898676,0.05372985976789692,0.05363350543734841,-0.009517824619659474,-0.016181617180332175
1843824993,PR,OBM,141,0.0,20000,1.7001381961701998,1.589452319221623,0.024040864446874165,0.03613195537310382,-0.06510404695213147,-0.11068587694857679
1843824993,PR,OBM_RR,141,2.0,20000,1.7001381961701998,1.6795699806690798,0.10125283651663754,0.10100086909542712,-0.0120979668284924,-0.02056821550111998
1843824993,PR,OBM_RR,141,3.0,20000,1.7001381961701998,1.6725553216834397,0.12303241229669262,0.12297301117966704,-0.01622390141512873,-0.02758287448676011
1843824993,PR,OBM_RR,141,4.0,20000,1.7001381961701998,1.6597824671242236,0.14554904873101213,0.1462073066063043,-0.02373673454127619,-0.040355729045976174
1843824993,PR,OBM,380,0.0,20000,1.7001381961701998,1.6434480218386682,0.06697553558867898,0.06974280788382727,-0.03334445073890708,-0.05669017433153156
1843824993,PR,OBM_RR,380,2.0,20000,1.7001381961701998,1.6450273449805197,0.26439968070157277,0.26567422208241337,-0.032415512641163526,-0.055110851189680066
1843824993,PR,OBM_RR,380,3.0,20000,1.7001381961701998,1.601178275506109,0.3356247041917604,0.3431802720616585,-0.05820698628323973,-0.09895992066409076
1843824993,PR,OBM_RR,380,4.0,20000,1.7001381961701998,1.564206968226855,0.4062397692460385,0.4220088028479171,-0.07995304631679301,-0.1359312279433449
1843824993,PR,OBM,1024,0.0,20000,1.7001381961701998,1.6243042739298088,0.17905628555041853,0.18361336074244405,-0.04460456356501933,-0.07583392224039098
1843824993,PR,OBM_RR,1024,2.0,20000,1.7001381961701998,1.4758532855603532,0.6892938618167841,0.735002290531939,-0.1319215762077929,-0.22428491060984657
1843824993,PR,OBM_RR,1024,3.0,20000,1.7001381961701998,1.4058212593572075,0.7865862603790045,0.8679648112714609,-0.17311353716773295,-0.2943169368129923
1843824993,PR,OBM_RR,1024,4.0,20000,1.7001381961701998,1.3111692572217286,0.7994098202271563,0.9453772568923413,-0.22878665971076845,-0.3889689389484712
1843824993,PR,OBM,2759,0.0,20000,1.7001381961701998,1.5051806543090818,0.4369075099844946,0.4720032363797941,-0.1146715851101324,-0.19495754186111802
1843824993,PR,OBM_RR,2759,2.0,20000,1.7001381961701998,1.0097868712594011,1.105029452182877,1.5742475409744194,-0.4060560056034927,-0.6903513249107986
1843824993,PR,OBM_RR,2759,3.0,20000,1.7001381961701998,0.81422342709881,0.9507409802419777,1.7292476850991787,-0.5210839748598304,-0.8859147690713898
1843824993,PR,OBM_RR,2759,4.0,20000,1.7001381961701998,0.6378267056779859,0.6451911335773535,1.7693955621852933,-0.6248383177821777,-1.0623114904922137
191664964,PR,OBM,7,0.0,20000,3.6494337442282117,0.9726605408503672,0.001423562174566755,7.166528854081756,-0.7334763119377943,-2.676773203377844
191664964,PR,OBM_RR,7,2.0,20000,3.6494337442282117,2.2547045892407946,0.011816439835237145,1.9570070793415835,-0.38217686708061516,-1.394729154987417
191664964,PR,OBM_RR,7,3.0,20000,3.6494337442282117,2.5903810284659152,0.01917663717973549,1.140641447695366,-0.29019644963749486,-1.0590527157622964
191664964,PR,OBM_RR,7,4.0,20000,3.6494337442282117,2.8206749762202348,0.027173466006985766,0.7138334051170393,-0.2270924275084337,-0.8287587680079769
191664964,PR,OBM,19,0.0,20000,3.6494337442282117,1.9419410032592228,0.009214093915058804,2.9246841270840833,-0.46787881645186363,-1.7074927409689888
191664964,PR,OBM_RR,19,2.0,20000,3.6494337442282117,3.3703270162042274,0.060203297542199774,0.13770250785350613,-0.07647946163302939,-0.2791067280239843
191664964,PR,OBM_RR,19,3.0,20000,3.6494337442282117,3.4931875231360845,0.08909384282240532,0.1129127654758256,-0.04281382593648658,-0.15624622109212716
191664964,PR,OBM_RR,19,4.0,20000,3.6494337442282117,3.5503820775744406,0.11646577250371264,0.1255005666872441,-0.02714165363610915,-0.09905166665377108
191664964,PR,OBM,52,0.0,20000,3.6494337442282117,2.9118000628869165,0.045682147129099016,0.5894810473306834,-0.2021227765836015,-0.7376336813412951
191664964,PR,OBM_RR,52,2.0,20000,3.6494337442282117,3.6671949004520776,0.21566876470499538,0.21454643161070397,0.004866825230614548,0.01776115622386598
191664964,PR,OBM_RR,52,3.0,20000,3.6494337442282117,3.6553297387146086,0.258256981478958,0.2565700310200818,0.0016155915957432702,0.005895994486396994
191664964,PR,OBM_RR,52,4.0,20000,3.6494337442282117,3.639549237234567,0.29174793179525127,0.28990064906179036,-0.0027085043013255856,-0.009884506993644848
191664964,PR,OBM,141,0.0,20000,3.6494337442282117,3.383137691153518,0.1449539876086366,0.21490121557440583,-0.07296914308852875,-0.2662960530746936
191664964,PR,OBM_RR,141,2.0,20000,3.6494337442282117,3.6033703306802787,0.4748182633124001,0.4737746462913387,-0.01262207147089186,-0.046063413547932974
191664964,PR,OBM_RR,141,3.0,20000,3.6494337442282117,3.590129641335459,0.6106481422853852,0.6100941312900634,-0.01625022045859728,-0.059304102892752564
