problem,iterate,estimator,b,lam,T,sigma_true,mean,var,mse,rel_bias,bias
191664964,PR,OBM,7,0.0,20000,7.850068637970599,1.489891945020969,0.0047554875844622625,40.45657134987359,-0.810206507263593,-6.36017669294963
191664964,PR,OBM_RR,7,2.0,20000,7.850068637970599,3.7163767881562073,0.04095578099685152,17.12809105167881,-0.526580344765372,-4.133691849814392
191664964,PR,OBM_RR,7,3.0,20000,7.850068637970599,4.4329793575573015,0.06872687659179987,11.744767847729996,-0.43529419142718273,-3.4170892804132977
191664964,PR,OBM,19,0.0,20000,7.850068637970599,3.2316227224173644,0.032523604254621676,21.362349455116615,-0.5883319151139544,-4.6184459155532345
191664964,PR,OBM_RR,19,2.0,20000,7.850068637970599,6.394259108366688,0.23402396922347113,2.351845195914212,-0.1854518217283088,-1.4558095296039113
191664964,PR,OBM_RR,19,3.0,20000,7.850068637970599,6.8931679687036285,0.36020854567474714,1.273466046213822,-0.12189710859832034,-0.9569006692669708
191664964,PR,OBM,52,0.0,20000,7.850068637970599,5.489853990545542,0.1813745517708258,5.750778570012141,-0.30066165740370143,-2.3602146474250576
191664964,PR,OBM_RR,52,2.0,20000,7.850068637970599,7.781220124103875,0.9334699981394722,0.9319869826801989,-0.008770434634635631,-0.0688485138667243
191664964,PR,OBM_RR,52,3.0,20000,7.850068637970599,7.805924337137623,1.14888107128733,1.143170583441447,-0.005623428643598291,-0.04414430083297649
191664964,PR,OBM,141,0.0,20000,7.850068637970599,6.950825383712941,0.6351837881230714,1.4395876598634887,-0.11455227918747615,-0.8992432542576587
191664964,PR,OBM_RR,141,2.0,20000,7.850068637970599,7.751478256447496,2.1997770908450587,2.194831973568296,-0.01255917445692438,-0.09859038152310351
191664964,PR,OBM_RR,141,3.0,20000,7.850068637970599,7.724898597108416,2.8267578313699206,2.823580318290229,-0.015945088716388934,-0.12517004086218364
191664964,PR,OBM,380,0.0,20000,7.850068637970599,7.447624258505587,1.558550856131842,1.7101219956539422,-0.05126635167473546,-0.4024443794650123
191664964,PR,OBM_RR,380,2.0,20000,7.850068637970599,7.5219849418276805,6.598355208917667,6.6620050858663475,-0.04179373598798685,-0.32808369614291877
191664964,PR,OBM_RR,380,3.0,20000,7.850068637970599,7.385296826175745,8.089946488230458,8.25202634868133,-0.059206082548981014,-0.4647718117948543
191664964,PR,OBM,1024,0.0,20000,7.850068637970599,7.445300296685066,4.363897279787621,4.4986420413627455,-0.05156239517800875,-0.40476834128553296
191664964,PR,OBM_RR,1024,2.0,20000,7.850068637970599,6.520753298165032,15.001170678769608,16.668242146886872,-0.16933805309366337,-1.329315339805567
191664964,PR,OBM_RR,1024,3.0,20000,7.850068637970599,6.323929381423257,20.288344342831945,22.482189744254597,-0.19441094427702735,-1.5261392565473422
191664964,PR,OBM,2759,0.0,20000,7.850068637970599,6.7588055169339825,10.516671611978907,11.637415667233624,-0.13901319483478175,-1.0912631210366168
191664964,PR,OBM_RR,2759,2.0,20000,7.850068637970599,5.775815005635365,40.407880237248406,44.441022500256,-0.26423382112891575,-2.0742536323352345
191664964,PR,OBM_RR,2759,3.0,20000,7.850068637970599,4.395834159395578,28.21278881596421,39.95643939016755,-0.4400260224308064,-3.454234478575021
1662057958,PR,OBM,7,0.0,20000,4.620204735710133,0.5891649910966511,0.001156281392273899,16.250429995503183,-0.8724807611786287,-4.031039744613482
1662057958,PR,OBM_RR,7,2.0,20000,4.620204735710133,1.5848582255709085,0.010137148081309158,9.22339800370847,-0.6569722953354549,-3.0353465101392247
1662057958,PR,OBM_RR,7,3.0,20000,4.620204735710133,1.9702351226411785,0.01762169868436679,7.039843170881962,-0.573561078925142,-2.6499696130689543
1662057958,PR,OBM,19,0.0,20000,4.620204735710133,1.3959258644789594,0.008205821801276946,10.404125355790375,-0.6978649336273616,-3.2242788712311734
