T,iterate,estimator,b,lam,sigma_true,mean_mean,bias_mean,rel_bias_median,var_mean,mse_mean,n_probs
20000,PR,OBM,7,0.0,5.846576103664318,0.9495695900988187,-4.897006513565499,-0.8086328052005419,0.003169562597591079,47.54291258794153,80
20000,PR,OBM,19,0.0,5.846576103664318,2.05577395786164,-3.790802145802678,-0.5882999690314377,0.021708905129057328,31.10204913337436,80
20000,PR,OBM,52,0.0,5.846576103664318,3.6174398941808974,-2.2291362094834204,-0.31547084947074927,0.1258452355955624,12.363073491396575,80
20000,PR,OBM,141,0.0,5.846576103664318,4.904033608684542,-0.9425424949797762,-0.12090486345049262,0.5267795798892971,2.942617026360839,80
20000,PR,OBM,380,0.0,5.846576103664318,5.473275508513068,-0.3733005951512494,-0.04970203437407633,1.6218174921188955,1.9941523656060376,80
20000,PR,OBM,1024,0.0,5.846576103664318,5.519700710538306,-0.32687539312601244,-0.052325845988924244,4.4431833253684445,4.672039581635891,80
20000,PR,OBM,2759,0.0,5.846576103664318,5.082149650960652,-0.764426452703666,-0.1291969306715866,10.58510780479984,11.682777863677195,80
20000,PR,OBM,4000,0.0,5.846576103664318,4.724469173237087,-1.1221069304272315,-0.19037244652046625,13.639830791177541,15.992123445166925,80
20000,PR,OBM_RR,7,2.0,5.846576103664318,2.357645999178426,-3.4889301044858927,-0.526243027816095,0.027128658667897744,27.59196921333134,80
20000,PR,OBM_RR,7,3.0,5.846576103664318,2.822896093847283,-3.023680009817035,-0.4379310019192061,0.046047282346145704,21.753465081718474,80
20000,PR,OBM_RR,7,4.0,5.846576103664318,3.193415804316611,-2.653160299347707,-0.37244033688974626,0.06831350169920378,17.443452926264506,80
20000,PR,OBM_RR,19,2.0,5.846576103664318,4.179673322757266,-1.6669027809070518,-0.21070240899540382,0.16213370577761022,8.214182915095835,80
20000,PR,OBM_RR,19,3.0,5.846576103664318,4.611710899716813,-1.2348652039475059,-0.14323748187202934,0.25196383070451783,5.000126637455118,80
20000,PR,OBM_RR,19,4.0,5.846576103664318,4.890832790545243,-0.9557433131190752,-0.1007707726711847,0.34623461602829153,3.3372783339153806,80
20000,PR,OBM_RR,52,2.0,5.846576103664318,5.552183070987043,-0.29439303267727546,-0.01733394985133689,0.7316910599636778,1.1488041835734748,80
20000,PR,OBM_RR,52,3.0,5.846576103664318,5.681831610366925,-0.16474449329739355,-0.010837337457853454,1.0113546018498072,1.1634598845891135,80
20000,PR,OBM_RR,52,4.0,5.846576103664318,5.7356065665173785,-0.11096953714693898,-0.00674979662071443,1.2719119896528235,1.3472286597777008,80
20000,PR,OBM_RR,141,2.0,5.846576103664318,5.831424914020646,-0.01515118964367195,-0.0025934459829113935,2.370809545367074,2.3798386038566806,80
20000,PR,OBM_RR,141,3.0,5.846576103664318,5.797562810649967,-0.04901329301435091,-0.010140232869722364,3.0373617536308863,3.0478441828759175,80
20000,PR,OBM_RR,141,4.0,5.846576103664318,5.755596454134027,-0.0909796495302915,-0.017919813888808825,3.682630840576107,3.70226034435535,80
20000,PR,OBM_RR,380,2.0,5.846576103664318,5.622987500454851,-0.2235886032094668,-0.03814338486015658,6.67860607683743,6.773801345277623,80
20000,PR,OBM_RR,380,3.0,5.846576103664318,5.512148718141331,-0.33442738552298745,-0.05903932957167054,8.219443369274549,8.422968098271962,80
20000,PR,OBM_RR,380,4.0,5.846576103664318,5.39526718921816,-0.4513089144461581,-0.07595445013277771,9.5895444331278,9.95727648948797,80
20000,PR,OBM_RR,1024,2.0,5.846576103664318,5.037128291370273,-0.8094478122940453,-0.13806060463053219,16.34305171810632,17.542418399412604,80
20000,PR,OBM_RR,1024,3.0,5.846576103664318,4.731929655906359,-1.114646447757959,-0.18848526369450042,18.963786624567184,21.24163534823264,80
20000,PR,OBM_RR,1024,4.0,5.846576103664318,4.424859647993513,-1.4217164556708046,-0.2432960984048887,20.465206434931606,24.20306558478572,80
20000,PR,OBM_RR,2759,2.0,5.846576103664318,3.5964740413329053,-2.2501020623314125,-0.377992493478683,27.67903338920656,37.31302081263968,80
20000,PR,OBM_RR,2759,3.0,5.846576103664318,2.7854402057376273,-3.061135897926691,-0.5221656798143373,20.557873470353535,38.054575367852024,80
20000,PR,OBM_RR,2759,4.0,5.846576103664318,1.9592858871557168,-3.887290216508601,-0.6636744667112222,10.534499964083949,38.23406848875778,80
20000,PR,OBM_RR,4000,2.0,5.846576103664318,2.68283353978999,-3.163742563874328,-0.5424234682355102,21.601852078779796,40.33013465818858,80
20000,PR,OBM_RR,4000,3.0,5.846576103664318,1.465991215256405,-4.380584888407913,-0.7506376259929612,8.025630223688582,43.06702798923909,80
20000,PR,OBM_RR,4000,4.0,5.846576103664318,0.5325486719024766,-5.314027431761842,-0.9115418206102601,2.061767435597525,54.28790202088453,80
50000,PR,OBM,8,0.0,4.78603910126729,0.8342058517631944,-3.9518332495040958,-0.799828119730088,0.0011334873359745998,28.5267685409389,80
50000,PR,OBM,25,0.0,4.78603910126729,1.9701581204172633,-2.815880980850027,-0.5420082286362182,0.009890476212723862,15.516568694459616,80
50000,PR,OBM,75,0.0,4.78603910126729,3.3854842184564484,-1.4005548828108416,-0.24935364860919462,0.059922176936502834,4.220685379209709,80
50000,PR,OBM,223,0.0,4.78603910126729,4.299998723201555,-0.486040378065735,-0.08475775379163325,0.2398308067884837,0.7616737545481226,80
50000,PR,OBM,659,0.0,4.78603910126729,4.618175542520376,-0.16786355874691392,-0.027975616970608748,0.739897125178606,0.8098311085419929,80
50000,PR,OBM,1946,0.0,4.78603910126729,4.616290409093741,-0.1697486921735482,-0.03365366002976512,2.1235550848405675,2.18908375041539,80
50000,PR,OBM,5743,0.0,4.78603910126729,4.292798597200592,-0.49324050406669784,-0.10083755838968779,5.843620030869425,6.268373827676525,80
50000,PR,OBM,10000,0.0,4.78603910126729,3.901799688153706,-0.8842394131135846,-0.18431278536166296,8.983805833447086,10.322526139376311,80
50000,PR,OBM_RR,8,2.0,4.78603910126729,2.0637326274372687,-2.7223064738300216,-0.5171165102040172,0.009601731592760305,14.850964558929288,80
50000,PR,OBM_RR,8,3.0,4.78603910126729,2.4616436364480703,-2.32439546481922,-0.42908464502924826,0.016152821374622015,11.181061891177876,80
50000,PR,OBM_RR,8,4.0,4.78603910126729,2.7732473542412346,-2.0127917470260557,-0.362246584864279,0.023745499537622044,8.606937682572866,80
50000,PR,OBM_RR,25,2.0,4.78603910126729,3.790346346511594,-0.9956927547556964,-0.15885661750211816,0.06905547965703575,2.4933546340043873,80
50000,PR,OBM_RR,25,3.0,4.78603910126729,4.0931472674760405,-0.6928918337912492,-0.10425709914475179,0.10279425029537179,1.3347294490203203,80
50000,PR,OBM_RR,25,4.0,4.78603910126729,4.27363740992109,-0.5124016913462001,-0.07449020605643045,0.13631941700040198,0.8333430511670334,80
50000,PR,OBM_RR,75,2.0,4.78603910126729,4.718141631893346,-0.06789746937394421,-0.0034844014484201684,0.30635928190289424,0.3362593108022806,80
50000,PR,OBM_RR,75,3.0,4.78603910126729,4.764122430426649,-0.021916670840640584,0.0010901601084035472,0.4057285048485776,0.41796703113868716,80
50000,PR,OBM_RR,75,4.0,4.78603910126729,4.779838858695856,-0.0062002425714347675,0.00233394954465252,0.49588605770654903,0.5049716927295036,80
50000,PR,OBM_RR,223,2.0,4.78603910126729,4.79997590649254,0.013936805225250055,0.003856889488421728,0.9899659823690306,0.998437376562509,80
50000,PR,OBM_RR,223,3.0,4.78603910126729,4.7799718568064735,-0.00606724446081673,-0.00013370279488335467,1.248492692219165,1.2576340326862498,80
50000,PR,OBM_RR,223,4.0,4.78603910126729,4.758352677476076,-0.027686423791214408,-0.005354557477598016,1.4923090064052067,1.5046648350783318,80
50000,PR,OBM_RR,659,2.0,4.78603910126729,4.675783148267334,-0.11025595299995547,-0.0229276687063949,2.9012775386152905,2.9372954127195126,80
50000,PR,OBM_RR,659,3.0,4.78603910126729,4.612317369172375,-0.1737217320949142,-0.0367960782154793,3.5831937246754975,3.649256144989958,80
50000,PR,OBM_RR,659,4.0,4.78603910126729,4.546727978252194,-0.2393111230150969,-0.04898375645449701,4.306073975197245,4.416714665329906,80
50000,PR,OBM_RR,1946,2.0,4.78603910126729,4.298427404841729,-0.4876116964255613,-0.09880599833225193,8.384870893366859,8.799033884896007,80
50000,PR,OBM_RR,1946,3.0,4.78603910126729,4.118648662704496,-0.6673904385627946,-0.13992824648002966,9.863135626872033,10.618436656430912,80
50000,PR,OBM_RR,1946,4.0,4.78603910126729,3.9420196768255344,-0.8440194244417558,-0.17740985307143772,11.221159928892012,12.414356703330785,80
50000,PR,OBM_RR,5743,2.0,4.78603910126729,3.2813454196122436,-1.5046936816550462,-0.31381784568563703,18.387689119133206,22.274255713335926,80
50000,PR,OBM_RR,5743,3.0,4.78603910126729,2.7132061383286237,-2.0728329629386666,-0.43450647987198054,16.079512265315604,23.589360635997668,80
50000,PR,OBM_RR,5743,4.0,4.78603910126729,2.1507852972786234,-2.635253803988667,-0.5489994154422377,10.594298997880284,22.688987822260295,80
50000,PR,OBM_RR,10000,2.0,4.78603910126729,2.2071644920336486,-2.5788746092336416,-0.538410127652314,13.612917331150834,25.29299853648827,80
