T,b,estimator,lam,sigma_true,mean,bias,var,mse,mean_clamped,mse_clamped,n_traj_used
10000,6,OBM,0.0,5.530043287007115,0.8263047817121826,-4.7037385052949325,0.003104617827759842,22.128257439404138,,,1000
10000,6,OBM_RR,2.0,5.530043287007115,2.1482872443276366,-3.3817560426794784,0.026414682071025576,11.462662199588122,2.1482872443276366,11.462662199588122,1000
10000,6,OBM_RR,3.0,5.530043287007115,2.621320561510608,-2.908722725496507,0.044542777380978116,8.50516612842343,2.621320561510608,8.50516612842343,1000
10000,6,OBM_RR,4.0,5.530043287007115,3.005671578153544,-2.524371708853571,0.06557320342872085,6.437960154685591,3.005671578153544,6.437960154685591,1000
10000,7,OBM,0.0,5.530043287007115,0.946589374202246,-4.583453912804869,0.004201227968240072,21.01224679754654,,,1000
10000,7,OBM_RR,2.0,5.530043287007115,2.4099408617711857,-3.1201024252359293,0.03521527607453269,9.770219204761586,2.4099408617711857,9.770219204761586,1000
10000,7,OBM_RR,3.0,5.530043287007115,2.905752980293617,-2.624290306713498,0.05867541730939684,6.945516355802515,2.905752980293617,6.945516355802515,1000
10000,7,OBM_RR,4.0,5.530043287007115,3.2963435544593915,-2.2336997325477235,0.08539151394957847,5.074720617619399,3.2963435544593915,5.074720617619399,1000
10000,8,OBM,0.0,5.530043287007115,1.0625932346439961,-4.467450052363119,0.005451787420824041,19.96355630599264,,,1000
10000,8,OBM_RR,2.0,5.530043287007115,2.650393893743823,-2.879649393263292,0.04499641851717202,8.337332050220299,2.650393893743823,8.337332050220299,1000
10000,8,OBM_RR,3.0,5.530043287007115,3.1599482012428073,-2.3700950857643077,0.07409996841449755,5.691376584010202,3.1599482012428073,5.691376584010202,1000
10000,8,OBM_RR,4.0,5.530043287007115,3.5495159692721825,-1.9805273177349325,0.1066699492601522,4.029051735605219,3.5495159692721825,4.029051735605219,1000
10000,10,OBM,0.0,5.530043287007115,1.2824761517017769,-4.247567135305339,0.008395967516535206,18.050214140475013,,,1000
10000,10,OBM_RR,2.0,5.530043287007115,3.074830901457747,-2.455212385549368,0.06711464330163575,6.095115386813352,3.074830901457747,6.095115386813352,1000
10000,10,OBM_RR,3.0,5.530043287007115,3.591343386116423,-1.938699900890692,0.10812162276869758,3.8665708068595084,3.591343386116423,3.8665708068595084,1000
10000,10,OBM_RR,4.0,5.530043287007115,3.9640421882139707,-1.5660010987931443,0.15244086323907136,2.6046478637971684,3.9640421882139707,2.6046478637971684,1000
10000,12,OBM,0.0,5.530043287007115,1.4872960130199093,-4.042747273987206,0.01189757591274525,16.355691199667813,,,1000
10000,12,OBM_RR,2.0,5.530043287007115,3.434363745066497,-2.095679541940618,0.09208442147744324,4.483865079564401,3.434363745066497,4.483865079564401,1000
10000,12,OBM_RR,3.0,5.530043287007115,3.9386908492520476,-1.5913524377550674,0.14533929634262832,2.6775965381952815,3.9386908492520476,2.6775965381952815,1000
10000,12,OBM_RR,4.0,5.530043287007115,4.282914178500144,-1.2471291085069707,0.20108573997981488,1.756215667525224,4.282914178500144,1.756215667525224,1000
10000,14,OBM,0.0,5.530043287007115,1.6782651179867156,-3.8517781690203994,0.01591583353000778,14.852094981038617,,,1000
10000,14,OBM_RR,2.0,5.530043287007115,3.7395449008034953,-1.7904983862036197,0.11934290000311491,3.325108028100879,3.7395449008034953,3.325108028100879,1000
10000,14,OBM_RR,3.0,5.530043287007115,4.21960676452477,-1.3104365224823447,0.184730765676973,1.9017899143669166,4.21960676452477,1.9017899143669166,1000
10000,14,OBM_RR,4.0,5.530043287007115,4.530579063047049,-0.9994642239600662,0.2517802833355908,1.2504572380283514,4.530579063047049,1.2504572380283514,1000
10000,17,OBM,0.0,5.530043287007115,1.9411454332424327,-3.5888978537646823,0.0228184667818097,12.902983453071771,,,1000
10000,17,OBM_RR,2.0,5.530043287007115,4.114020379796085,-1.4160229072110297,0.16349346937720305,2.168450849654204,4.114020379796085,2.168450849654204,1000
10000,17,OBM_RR,3.0,5.530043287007115,4.545538163024657,-0.9845051239824576,0.2465495531944533,1.2155533427889713,4.545538163024657,1.2155533427889713,1000
