estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,100000,32,12.713072833962226,-3.564957535344579,0.0041540668745246,5.530043287007115,0.3,31.62277660168379,0.3010299956639812,0.011858263308658178
OBM,0.0,100000,44,9.596733070618455,-3.0966788599848303,0.0073192080815746,5.530043287007115,0.325,42.16965034285823,0.32869053529723746,0.042488857802936694
OBM,0.0,100000,55,7.557613363073912,-2.747163591542604,0.0107144931209257,5.530043287007115,0.35,56.234132519034894,0.3480725378988488,0.022190727507108803
OBM,0.0,100000,77,4.914395895580686,-2.212667402197862,0.0185142914078256,5.530043287007115,0.375,74.98942093324558,0.3772981450344964,0.026458372489848083
OBM,0.0,100000,96,3.541152442867795,-1.874880116416671,0.0259986574811077,5.530043287007115,0.4,100.00000000000003,0.3964542466079137,0.040821994520255395
OBM,0.0,100000,133,2.060890923283772,-1.4210328809359574,0.0415911338608415,5.530043287007115,0.425,133.3521432163324,0.42477032819341715,0.0026441943905932573
OBM,0.0,100000,185,1.1436756596898097,-1.0391482975564754,0.0638997251462441,5.530043287007115,0.45,177.8279410038923,0.4534343456806027,0.03953936584172182
OBM,0.0,100000,231,0.772108536157283,-0.830116838575921,0.0830838069758156,5.530043287007115,0.475,237.13737056616546,0.4727223959784288,0.026221885339064725
OBM,0.0,100000,320,0.4663140390269802,-0.5903607791698562,0.1178864281350527,5.530043287007115,0.5,316.22776601683796,0.5010299956639812,0.011858263308657958
OBM,0.0,100000,445,0.3407752501001893,-0.4176155015913698,0.1665113023494024,5.530043287007115,0.525,421.69650342858233,0.5296720021961863,0.053788413056870044
OBM,0.0,100000,554,0.3193911673517502,-0.3335142988210782,0.2083329906591841,5.530043287007115,0.55,562.3413251903494,0.5487019529456859,0.014944318986342313
OBM,0.0,100000,769,0.3538367697475374,-0.2495099511803777,0.2918247412939148,5.530043287007115,0.575,749.8942093324555,0.5771852679602862,0.025158827147763026
OBM,0.0,100000,957,0.4125224190582096,-0.2140865750650356,0.3669951867574302,5.530043287007115,0.6,999.9999999999998,0.5961823875553687,0.043951887529182596
OBM,0.0,100000,1328,0.549986459863642,-0.1904899957519648,0.5141284617668642,5.530043287007115,0.625,1333.521432163324,0.6246396150063998,0.004149085570013683
OBM,0.0,100000,1844,0.7419059048171277,-0.1960711676563029,0.7040487092887625,5.530043287007115,0.65,1778.2794100389233,0.6531521833435221,0.03629085188589039
OBM,0.0,100000,2294,0.9232383965765384,-0.2115366258245741,0.8792233386268147,5.530043287007115,0.675,2371.3737056616565,0.6721186827130498,0.03317239116558865
OBM,0.0,100000,3185,1.331101567753119,-0.2625186151916612,1.2632382429667777,5.530043287007115,0.7,3162.2776601683777,0.7006218873342739,0.007159742527104323
OBM,0.0,100000,4421,1.8828210001106005,-0.3411174593853419,1.767933156643627,5.530043287007115,0.725,4216.965034285821,0.7291041029811747,0.04725023172282791
OBM,0.0,100000,5501,2.3396833437872253,-0.4106715019462408,2.1728429637462314,5.530043287007115,0.75,5623.413251903491,0.7480883289899533,0.022008925852213278
OBM,0.0,300000,7,26.83643023223168,-5.180383804686441,5.391330186205168e-05,5.530043287007115,0.15,6.630834496675398,0.15429602535931292,0.054179486009562565
