estimator,lam,eta,label,n_T,T_min,T_max,theory_abs_bias_rate,theory_bias_sq_rate,theory_var_rate,mean_abs_log_b_error,max_abs_log_b_error,abs_bias_kappa,abs_bias_rate,abs_bias_C,abs_bias_r2,bias_sq_kappa,bias_sq_rate,bias_sq_C,bias_sq_r2,var_kappa,var_rate,var_C,var_r2,mse_kappa,mse_rate,mse_C,mse_r2,bias_sq_plus_var_kappa,bias_sq_plus_var_rate,bias_sq_plus_var_C,bias_sq_plus_var_r2,abs_bias_rate_minus_theory,bias_sq_rate_minus_theory,var_rate_minus_theory
OBM,0.0,0.15,OBM,9,10000,1000000,0.15,0.3,0.85,0.06845959537670425,0.22788685663767297,0.020934518190434386,-0.020934518190434386,3.9864798027042156,0.9918548553648269,0.041869036380868724,-0.041869036380868724,15.892021217368656,0.9918548553648271,-1.1504526185711954,1.1504526185711954,85.16313124854221,0.997263264568427,0.04185311683930188,-0.04185311683930188,15.895251061748734,0.9918629662585439,0.041853096915730054,-0.041853096915730054,15.895255104367008,0.99186297632373,-0.17093451819043437,-0.34186903638086874,0.30045261857119543
OBM,0.0,0.175,OBM,9,10000,1000000,0.175,0.35,0.825,0.04176448561861887,0.09918901370953807,0.02074193175621823,-0.02074193175621823,3.916148056294456,0.9125896962598421,0.04148386351243646,-0.04148386351243646,15.336215598818844,0.9125896962598421,-1.0588023823865662,1.0588023823865662,47.156061884127524,0.9918666976037863,0.04146537807401249,-0.04146537807401249,15.33987826374635,0.9124259221161943,0.041465354939193025,-0.041465354939193025,15.339882848181734,0.9124257169769674,-0.1957419317562182,-0.3914838635124364,0.23380238238656625
OBM,0.0,0.2,OBM,9,10000,1000000,0.2,0.4,0.8,0.036812364709060026,0.05952331801932924,0.02235204444336752,-0.02235204444336752,3.733563752667446,0.8659953926720256,0.04470408888673504,-0.04470408888673504,13.939498295232221,0.8659953926720253,-0.9885740339136292,0.9885740339136292,35.496068852965195,0.9911682842818813,0.04467577146351238,-0.04467577146351238,13.944624162781967,0.8656987282016702,0.044675736024508285,-0.044675736024508285,13.944630578950111,0.8656983565821025,-0.22235204444336754,-0.44470408888673507,0.18857403391362915
OBM,0.0,0.225,OBM,9,10000,1000000,0.225,0.45,0.775,0.020595227395433426,0.03831614414207903,0.024790891242056152,-0.024790891242056152,3.4818609233492803,0.9144418688346803,0.049581782484112304,-0.049581782484112304,12.123355489546704,0.9144418688346807,-0.9224018856295648,0.9224018856295648,29.54340788080432,0.9960441184432992,0.04952959439153854,-0.04952959439153854,12.131564397268257,0.9140117632385335,0.04952952908220616,-0.04952952908220616,12.131574673590043,0.9140112239532955,-0.24979089124205617,-0.49958178248411234,0.1474018856295648
OBM,0.0,0.25,OBM,9,10000,1000000,0.25,0.5,0.75,0.010589789642729443,0.02249430632960012,0.02829726324101108,-0.02829726324101108,3.1567925109354373,0.8339996136461437,0.05659452648202216,-0.05659452648202216,9.965338957098064,0.8339996136461437,-0.8761918110886597,0.8761918110886597,31.32748467416606,0.9944240825310621,0.05650069122837113,-0.05650069122837113,9.977541298494717,0.8331127702111762,0.05650057381079101,-0.05650057381079101,9.97755657692665,0.8331116581189467,-0.27829726324101106,-0.5565945264820221,0.12619181108865973
OBM,0.0,0.275,OBM,9,10000,1000000,0.275,0.55,0.725,0.012776727474051924,0.032105755168086385,0.03038712637859078,-0.03038712637859078,2.8706693446325042,0.7978421353526793,0.06077425275718156,-0.06077425275718156,8.240742486212811,0.7978421353526793,-0.8248469604144317,0.8248469604144317,30.26826044691927,0.9940224558864111,0.060600456694859466,-0.060600456694859466,8.259488359660088,0.7961561013696862,0.06060023926002749,-0.06060023926002749,8.259511839436348,0.7961539850389392,-0.3053871263785908,-0.6107742527571816,0.09984696041443175
OBM,0.0,0.3,OBM,9,10000,1000000,0.3,0.6,0.7,0.01033237107902495,0.02660728659439795,0.03066250727029297,-0.03066250727029297,2.6148125306045262,0.6442738449641059,0.061325014540585976,-0.061325014540585976,6.837244570206445,0.6442738449641059,-0.7715038442095866,0.7715038442095866,28.109968638876243,0.9931319658191285,0.06101695340250144,-0.06101695340250144,6.865059735252739,0.6409271473705762,0.06101656809761779,-0.06101656809761779,6.865094596380613,0.6409229476481284,-0.33066250727029295,-0.661325014540586,0.07150384420958666
OBM,0.0,0.325,OBM,9,10000,1000000,0.325,0.65,0.675,0.01439740107467672,0.025691343491984212,0.030464467803569012,-0.030464467803569012,2.3313636084464053,0.49570821661535946,0.060928935607138024,-0.060928935607138024,5.435256274788244,0.49570821661535946,-0.7257743435696132,0.7257743435696132,28.388186859913443,0.9921331459996333,0.060340470175215134,-0.060340470175215134,5.477894620579125,0.489596531540363,0.06033973458916559,-0.06033973458916559,5.477948130012928,0.4895888678885375,-0.355464467803569,-0.710928935607138,0.05077434356961319
OBM,0.0,0.35,OBM,9,10000,1000000,0.35,0.7,0.65,0.013674401862049138,0.024383709074176592,0.027144955140505925,-0.027144955140505925,2.108035214990189,0.323076032178894,0.05428991028101186,-0.05428991028101186,4.443812467638732,0.3230760321788949,-0.6810469249734689,0.6810469249734689,27.759168372944927,0.9925286996604205,0.05317079735100115,-0.05317079735100115,4.510918687948012,0.31283112904113586,0.053169400057446636,-0.053169400057446636,4.511003113142563,0.3128183375595853,-0.3771449551405059,-0.7542899102810118,0.031046924973468837
OBM,0.0,0.375,OBM,9,10000,1000000,0.375,0.75,0.625,0.024712384347988694,0.0341192983723828,0.023843242157596502,-0.023843242157596502,1.8331278738794645,0.1958816609936982,0.047686484315192956,-0.047686484315192956,3.360357801993848,0.19588166099369775,-0.6479332813510039,0.6479332813510039,30.930250744788424,0.9937667240010317,0.04533071716168372,-0.04533071716168372,3.468910738309536,0.1794656063823573,0.045327783775584295,-0.045327783775584295,3.469048099743234,0.17944538373233399,-0.3988432421575965,-0.797686484315193,0.02293328135100392
OBM,0.0,0.4,OBM,9,10000,1000000,0.4,0.8,0.6,0.027066823487759743,0.03831618413698343,0.013261188051255904,-0.013261188051255904,1.6876786920133264,0.04801646092574596,0.02652237610251178,-0.02652237610251178,2.848259367475814,0.04801646092574552,-0.609840289995014,0.609840289995014,31.09645250232857,0.9942451450459149,0.02179159179297328,-0.02179159179297328,3.038687978003251,0.032842120309805045,0.02178573341264314,-0.02178573341264314,3.038931637471718,0.03282494216552989,-0.41326118805125595,-0.8265223761025118,0.009840289995014073
OBM,0.0,0.425,OBM,9,10000,1000000,0.425,0.85,0.575,0.031278758730187414,0.041911018503453766,-0.00043439396610231104,0.00043439396610231104,1.5578925306362816,4.1757727265778755e-05,-0.0008687879322046221,0.0008687879322046221,2.427029137012318,4.175772726566773e-05,-0.5798943965454278,0.5798943965454278,33.40623075438832,0.9953128329378117,-0.010752952712244109,0.010752952712244109,2.78407066576469,0.0063943195056573865,-0.010765038053373182,0.010765038053373182,2.7845384644326723,0.0064086589161865826,-0.4245656060338977,-0.8491312120677954,0.004894396545427893
OBM,0.0,0.45,OBM,9,10000,1000000,0.45,0.9,0.55,0.03755306121774504,0.04641851150770025,-0.017364007639854805,0.017364007639854805,1.4481809303054847,0.051626211350399354,-0.0347280152797096,0.0347280152797096,2.0972280069004587,0.051626211350399354,-0.5548107422672375,0.5548107422672375,36.93420694627134,0.9970085134247719,-0.055627992455507286,0.055627992455507286,2.818833470521618,0.1266528950146164,-0.055652803890399186,0.055652803890399186,2.8198262680974016,0.12675675190619917,-0.4326359923601452,-0.8652719847202904,0.004810742267237433
OBM,0.0,0.475,OBM,9,10000,1000000,0.475,0.95,0.525,0.03961769954432712,0.04967351980006198,-0.04077693149337611,0.04077693149337611,1.425452802375462,0.2043479163183649,-0.08155386298675223,0.08155386298675223,2.031915691800058,0.2043479163183648,-0.5265112176619192,0.5265112176619192,38.03846955261709,0.9983475612126457,-0.12220002502266945,0.12220002502266945,3.678861143302973,0.39586809387679345,-0.12224532164701442,0.12224532164701442,3.6813161214778813,0.396081704450045,-0.43422306850662384,-0.8684461370132477,0.0015112176619191953
OBM,0.0,0.5,OBM,9,10000,1000000,0.5,1.0,0.5,0.04345278770828696,0.05354076692802976,-0.0672340779960813,0.0672340779960813,1.431118542359823,0.3828315506074701,-0.13446815599216255,0.13446815599216255,2.048100282286103,0.3828315506074701,-0.49858010186275686,0.49858010186275686,38.53960376168493,0.9982192308007638,-0.2059565307525185,0.2059565307525185,6.159306939822912,0.6768339412813356,-0.2060262812523024,0.2060262812523024,6.166087769200213,0.6770690811409263,-0.4327659220039187,-0.8655318440078374,-0.0014198981372431363
OBM,0.0,0.525,OBM,9,10000,1000000,0.525,1.05,0.475,0.046430645018993175,0.058075341488384086,-0.09829190461951655,0.09829190461951655,1.5084998145233584,0.5518237320616588,-0.19658380923903307,0.19658380923903307,2.275571690417007,0.5518237320616589,-0.46988060910003715,0.46988060910003715,38.01351890505431,0.9975149630919105,-0.2978007699021208,0.2978007699021208,12.877020044864372,0.8694417963425902,-0.29787785922337057,0.29787785922337057,12.89529202832597,0.8695942353975464,-0.4267080953804835,-0.853416190760967,-0.005119390899962828
OBM,0.0,0.55,OBM,9,10000,1000000,0.55,1.1,0.44999999999999996,0.046276989938420506,0.05472793937884181,-0.11222068481302663,0.11222068481302663,1.433130351551505,0.6535195105913176,-0.22444136962605327,0.22444136962605327,2.05386260453814,0.6535195105913176,-0.4633528459344837,0.4633528459344837,43.564331466087495,0.9964541418034663,-0.3494073697667698,0.3494073697667698,20.82134496356031,0.9380711091666999,-0.3494797908869032,0.3494797908869032,20.85367522818045,0.938153785677483,-0.43777931518697344,-0.8755586303739469,0.01335284593448377
OBM,0.0,0.575,OBM,9,10000,1000000,0.575,1.15,0.42500000000000004,0.043302467743422626,0.050719701284848255,-0.16217151169247818,0.16217151169247818,1.9158937411114059,0.7468610013115531,-0.3243430233849563,0.3243430233849563,3.6706488272298556,0.7468610013115531,-0.4221442843615043,0.4221442843615043,36.272953479931864,0.9973508944596694,-0.39382779959031977,0.39382779959031977,34.62521631362327,0.9799440076984322,-0.39385272180316666,0.39385272180316666,34.667996402743086,0.9799747110505912,-0.4128284883075218,-0.8256569766150437,-0.002855715638495737
OBM,0.0,0.6,OBM,9,10000,1000000,0.6,1.2,0.4,0.039359813900339734,0.04681318159093857,-0.2097778971317152,0.2097778971317152,2.5324761625886025,0.790630137151462,-0.41955579426343037,0.41955579426343037,6.413435514079489,0.790630137151462,-0.39240799342237465,0.39240799342237465,34.84956611152004,0.9960079152380469,-0.3948733492369411,0.3948733492369411,40.825741447540324,0.9900449365818084,-0.39487059796161095,0.39487059796161095,40.869289519137986,0.9900550771003874,-0.39022210286828474,-0.7804442057365696,-0.0075920065776253765
OBM,0.0,0.625,OBM,9,10000,1000000,0.625,1.25,0.375,0.036198187364961394,0.042764561197416714,-0.2653790425116658,0.2653790425116658,3.81341308118618,0.7640622215590332,-0.5307580850233315,0.5307580850233315,14.542119327761876,0.7640622215590332,-0.3684601200119609,0.3684601200119609,35.4886902620652,0.9933598504818326,-0.3780063100082915,0.3780063100082915,42.30100200478279,0.9915258225403828,-0.37799520554856564,0.37799520554856564,42.345115963016184,0.9915291518831436,-0.3596209574883342,-0.7192419149766685,-0.006539879988039121
OBM,0.0,0.65,OBM,9,10000,1000000,0.65,1.3,0.35,0.03294214965673513,0.03892898051621227,-0.32120981040419194,0.32120981040419194,6.079018777217341,0.6416695720116894,-0.6424196208083839,0.6424196208083839,36.954469293761015,0.6416695720116894,-0.34714936839680743,0.34714936839680743,37.03908196572808,0.9927896306138035,-0.35604701052220084,0.35604701052220084,42.68737937035855,0.9930044816240595,-0.3560363388507431,0.3560363388507431,42.733431378817436,0.9930050839276197,-0.3287901895958081,-0.6575803791916162,-0.002850631603192544
OBM,0.0,0.675,OBM,9,10000,1000000,0.675,1.35,0.32499999999999996,0.029343374266432933,0.03493271265542623,-0.36715658640103954,0.36715658640103954,9.561309694043567,0.568351841429934,-0.7343131728020792,0.7343131728020792,91.41864306541159,0.5683518414299341,-0.32427891661427516,0.32427891661427516,37.720423476825225,0.9889052521348524,-0.3323007519249473,0.3323007519249473,42.60562109215251,0.991084146442537,-0.33229101503721953,0.33229101503721953,42.65255976001812,0.9910823886748289,-0.3078434135989605,-0.6156868271979209,-0.0007210833857247967
OBM,0.0,0.7,OBM,9,10000,1000000,0.7,1.4,0.30000000000000004,0.026008593758343412,0.031075001109195748,-0.38735017712372233,0.38735017712372233,13.123778063633267,0.5812629859843896,-0.7747003542474447,0.7747003542474447,172.23355066350175,0.5812629859843896,-0.2961352082281158,0.2961352082281158,36.401285115948234,0.9849259979785784,-0.3047579606728664,0.3047579606728664,41.34343436385818,0.9879068163621089,-0.30474747009602343,0.30474747009602343,41.38869421601704,0.9879043600674923,-0.3126498228762776,-0.6252996457525553,-0.0038647917718842573
OBM,0.0,0.725,OBM,9,10000,1000000,0.725,1.45,0.275,0.0227559128676649,0.027176413897764564,-0.3754945914770483,0.3754945914770483,14.272121120726867,0.600161292767219,-0.7509891829540962,0.7509891829540962,203.69344128469717,0.6001612927672189,-0.2633122969956175,0.2633122969956175,33.530242805903946,0.9788218173826021,-0.27363766265414136,0.27363766265414136,39.00768268382381,0.9837033106070294,-0.2736251479181526,0.2736251479181526,39.049270648107786,0.9836994681930993,-0.3495054085229517,-0.6990108170459037,-0.011687703004382544
OBM,0.0,0.75,OBM,9,10000,1000000,0.75,1.5,0.25,0.019562343355316834,0.023315649199009168,-0.3324504981586647,0.3324504981586647,11.895135713794675,0.5901720706958508,-0.6649009963173294,0.6649009963173294,141.49425364959356,0.5901720706958508,-0.23508578694863333,0.23508578694863333,31.932099729480328,0.967133203515818,-0.24768454898065598,0.24768454898065598,38.541840011918275,0.9770438028181214,-0.24766943341816378,0.24766943341816378,38.581287987057884,0.9770361367428761,-0.4175495018413353,-0.8350990036826706,-0.01491421305136667
OBM_RR,2.0,0.15,OBM-LW(lambda=2),9,10000,1000000,0.3,0.6,0.85,0.06845959537670425,0.22788685663767297,0.06426962615225043,-0.06426962615225043,2.036415129387564,0.9919639905342403,0.12853925230450083,-0.12853925230450083,4.146986579198571,0.9919639905342402,-1.1449896962767108,1.1449896962767108,704.0638389008063,0.997248787450776,0.12830501101814912,-0.12830501101814912,4.159371885586184,0.9920113176285669,0.1283047180172934,-0.1283047180172934,4.159387401045632,0.992011374669684,-0.36426962615225045,-0.7285392523045008,0.2949896962767108
